0
Phylum CHORDATA
Class CHONDRICHTHYES
Order ORECTOLOBIFORMES
Family Ginglymostomatidae
"Ginglymostoma unami Moral-Flores, Ramírez-Antonio, Angulo &"
"Semicossyphus darwini (Jenyns, 1842)"
"Stethojulis bandanensis (Bleeker, 1851)"
"Thalassoma grammaticum (Gilbert, 1890)"
"Thalassoma lucasanum (Gill, 1862)"
"Thalassoma purpureum (Forsskål, 1775)"
"Xyrichtys victori Wellington, 1992"
Family Scaridae
"Scarus compressus (Osburn & Nichols, 1916)"
"Scarus ghobban Forsskål, 1775"
"Scarus perrico Jordan & Gilbert, 1882"
"Scarus rubroviolaceus (Bleeker, 1847)"
"Nicholsina denticulata (Evermann & Radcliffe, 1917)"
Family Ammodytidae
"Ammodytoides gilli (Bean, 1895)"
Family Tripterygiidae
"Axoclinus cocoensis Bussing, 1991"
Family Dactyloscopidae
"Dactyloscopus pectoralis  Gill, 1861"
"Gillellus chathamensis Dawson, 1977"
Family Blenniidae
"Entomacrodus chiostictus (Jordan & Gilbert, 1882)"
"Hypsoblennius brevipinnis (Günther, 1861)"
"Ophioblennius steindachneri (Jordan & Evermann, 1898)"
"Plagiotremus azaleus (Jordan & Bollman, 1890)"
Family Labrisomidae
"Dialommus fuscus (Gilbert, 1891)"
"Labrisomus multiporosus Hubbs, 1953"
"Paraclinus mexicanus (Gilbert, 1904)"
Starksia new species
Family Chaenopsidae
"Acanthemblemaria atrata Hastings & Robertson, 1999"
"Acanthemblemaria macrospilus Brock, 1940"
"Chaenopsis deltarrhis Böhlke, 1957"
Chaenopsis new species
"Coralliozetus boehlkei Brock, 1940"
"Coralliozetus springeri Stephens & Johnson, 1966"
"Ekemblemaria myersi Stephens, 1963"
"Emblemaria nivipes Jordan & Gilbert, 1883"
"Emblemaria piratica Ginsburg, 1942"
"Stathmonotus culebrai Seale, 1940"
Family Gobiesocidae
"Arcos decoris Briggs, 1969"
"Arcos poecilophthalmos (Jenyns, 1842)"
"Arcos rhodospilus (Günther, 1864)"
"Gobiesox adustus Jordan & Gilbert, 1882"
"Gobiesox fulvus Meek, 1907"
"Gobiesox woodsi (Schultz, 1944)"
"Tomicodon chilensis Brisout de Barneville, 1846"
"Tomicodon petersii (Garman, 1875)"
"Tomicodon vermiculatus Briggs, 1955"
Family Microdesmidae
"Clarkichthys bilineatus (Clark, 1936)"
Family Gobiidae
"Bathygobius lineatus  (Jenyns, 1841)"
"Bathygobius ramosus (Ginsburg, 1947)"
"Chriolepis atrimelum Bussing, 1997"
"Chriolepis dialepta Bussing, 1990"
"Coryphopterus urospilus Ginsburg, 1938"
"Tigrigobius nesiotes Bussing, 1990"
"Gobulus crescentalis (Gilbert, 1892)"
"Gobulus hancocki Ginsburg, 1938"
"Lythrypnus alphigena Bussing, 1990"
"Lythrypnus cobalus Bussing, 1990"
"Lythrypnus dalli (Gilbert, 1890)"
"Lythrypnus lavenbergi Bussing ,1990"
"Lythrypnus rhizophora (Heller & Snodgrass, 1903)"
Family Scombridae
"Thunnus albacares (Bonnaterre, 1788)"
Family Zanclidae
"Zanclus cornutus (Linnaeus, 1758)"
Family Acanthuridae
"Acanthurus nigricans (Linnaeus, 1758)"
"Acanthurus triostegus (Linnaeus, 1758)"
"Acanthurus xanthopterus (Valenciennes, 1835)"
"Ctenochaetus marginatus (Valenciennes, 1835)"
"Naso annulatus (Quoy & Gaimard, 1825)"
"Naso hexacanthus (Bleeker, 1855)"
"Prionurus laticlavius (Valenciennes, 1846)"
Family Sphyraenidae
"Sphyraena idiastes Heller & Snodgrass, 1903"
Order PLEURONECTIFORMES
Family Bothidae
"Bothus constellatus (Jordan, 1889)"
"Bothus leopardinus (Günther, 1862)"
"Bothus mancus (Broussonet, 1782)"
Family Soleidae
"Aseraggodes herrei Seale, 1940"
Order TETRAODONTIFORMES
Family Balistidae
"Balistes polylepis (Steindachner, 1876)"
"Canthidermis maculata (Bloch, 1786)"
"Melichthys niger (Bloch, 1786)"
"Melichthys vidua (Richardson, 1845)"
"Pseudobalistes naufragium (Jordan & Starks, 1895)"
"Sufflamen verres (Gilbert & Starks, 1904)"
"Xanthichthys caeruleolineatus Randall, Matsuura & Zama, 1978"
"Xanthichthys mento (Jordan & Gilbert, 1882)"
