"";"Name quoted";"Valide Name";"Simplified group";"Kingdom";"Class";"Order";"Family";"CD_NOM";"Date of the last observation"
"";"Steatoda albomaculata (De Geer, 1778)";"Steatoda albomaculata (De Geer, 1778)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"234119";"12-07-2013"
"";"Steatoda grossa (C.L. Koch, 1838)";"Steatoda grossa (C.L. Koch, 1838)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"234120";"15-05-2014"
"";"Steatoda nobilis (Thorell, 1875)";"Steatoda nobilis (Thorell, 1875)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"234123";"28-09-2011"
"";"Steatoda paykulliana (Walckenaer, 1806)";"Steatoda paykulliana (Walckenaer, 1806)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"457285";"02-06-2010"
"";"Stellaria media (L.) Vill., 1789";"Stellaria media (L.) Vill., 1789";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"125014";"12-05-2018"
"";"Stenophylax mucronatus McLachlan, 1880";"Stenophylax mucronatus McLachlan, 1880";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Limnephilidae";"79144";"14-10-1981"
"";"Stenophylax permistus McLachlan, 1895";"Stenophylax permistus McLachlan, 1895";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Limnephilidae";"232729";"14-10-1981"
"";"Stenopus spinosus Risso, 1827";"Stenopus spinosus Risso, 1827";"Crabes, crevettes, cloportes et mille-pattes";"Animalia";"Malacostraca";"Decapoda";"Stenopodidae";"350592";"11-07-2016"
"";"Stictoleptura cordigera (Fuessly, 1775)";"Stictoleptura cordigera (Fuessly, 1775)";"Insectes et araignées";"Animalia";"Insecta";"Coleoptera";"Cerambycidae";"223166";"30-06-2016"
"";"Stipellula capensis (Thunb.) Röser & Hamasha, 2012";"Stipellula capensis (Thunb.) Röser & Hamasha, 2012";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"888838";"06-05-1983"
"";"Streptopelia decaocto (Frivaldszky, 1838)";"Streptopelia decaocto (Frivaldszky, 1838)";"Oiseaux";"Animalia";"Aves";"Columbiformes";"Columbidae";"3429";"20-05-2019"
"";"Streptopelia turtur (Linnaeus, 1758)";"Streptopelia turtur (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Columbiformes";"Columbidae";"3439";"07-05-2013"
"";"Sturnus unicolor Temminck, 1820";"Sturnus unicolor Temminck, 1820";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sturnidae";"4518";"18-04-2012"
"";"Styloctetor romanus (O. Pickard-Cambridge, 1873)";"Styloctetor romanus (O. Pickard-Cambridge, 1873)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Linyphiidae";"233763";"15-05-2014"
"";"Sus scrofa Linnaeus, 1758";"Sus scrofa Linnaeus, 1758";"Mammifères";"Animalia";"Mammalia";"Cetartiodactyla";"Suidae";"60981";"31-12-1982"
"";"Sylvia atricapilla (Linnaeus, 1758)";"Sylvia atricapilla (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4257";"19-10-2018"
"";"Sylvia cantillans (Pallas, 1764)";"Sylvia cantillans (Pallas, 1764)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4229";"07-05-2016"
"";"Sylvia communis Latham, 1787";"Sylvia communis Latham, 1787";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4252";"09-09-2003"
"";"Sylvia melanocephala (Gmelin, 1789)";"Sylvia melanocephala (Gmelin, 1789)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4232";"19-10-2018"
"";"Sylvia sarda Temminck, 1820";"Sylvia sarda Temminck, 1820";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4219";"12-06-2019"
"";"Sylvia subalpina Temminck, 1820";"Sylvia subalpina Temminck, 1820";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"824026";"02-10-2018"
