0,1,2,3,4,5,6,7
Neopomacentrus azysron,,"(Bleecker, 1877)",,,,,
"N. cyanomos (Bleeker,",1856),,,,,,
"N. filamentosus (Macleay,",,1882),,,,,
Parma occidentalis Allen,,"and Hoese, 1975",,,,,
Plectroglyphidodon dicki,,"(Lienard, 1839)",,,,,
P. johnstonianus Fowler,,"and Ball, 192:",,,,,
P. lacrymatus (Quoy,and,"Gaimard, 1824)",,,,,
"P. leucozona (Bleecker,",1859),,,,,,
Pomacentrus coelestis,Jordan,"and Starks,",1901],,,,
"P. mallert Vaylor, 1964",,,,,,,
"P. molluccensis Bleeker,",,1853,,,,,
P. vaidt Jordan and,"Seale,",1906,,,,,
"Stegastes obreptus (Whitley,",,1948),,,,,
CIRREITTIDAE,,,,,,,
Cirrhitichthys aprinus,"(Cuvier,",1829),,,,,
"C. oxycephalus (Bleeker,",,1855),,,,,
Cyprinocirhites polyactis,,"(Bleeker, 1875)",,,,,
Paracirrhites forstert,"(Schneider, 1801)",Unnamed: 2,Unnamed: 3,Unnamed: 4,,,
CHETODACTYLIDAE,,,,,,,
Cheilodactylus gibbosus,"Richardson,",184],,,,,
C. rubrolabiatus Allen,"and THeemstra,",1976,,,,,
SPHYRAENIDAE,,,,,,,
Sphyraena obtusata,"Cuvier, 1829",,,,,,
LABRIDAE,,,,,,,
Anampses caeruleopunclatus,"Ruppell,",1829,,,,,
"A. geographicus Valenciennes,",1839,,,,,,
"A. lennardt Scott, 1959",,,,,,,
"al. meleagrides Valenciennes,",$839,,,,,,
Austrolabrus maculatus,"(Macleay, 1881)",,,,,,
"Bodianus axillaris (Bennett,",1831),,,,,,
"B. bilunulatus (Lacepede,",1802),,,,,,
Cheilinus bimaculatus,"Valenciennes,",1839,,,,,
"C. chlorurus (Bloch,",1791),,,,,,
"Cheilio inermis (Korsskal,",1775),,,,,,
Choerodon cauteroma,"Gomon and Allen,",1987,,,,,
"C. jordant (Snyder,",1908),,,,,,
"C. rubescens (Gitmther,",1862),,,,,,
"C. schoenteinii: (Valenciennes,",1839),,,,,,
Cirrhilabrus temminckt,"Bleeker, 1852",,,,,,
"Cons auricularis (Valenciennes,",1839),,,,,,
"C. aygula Lacepede,",1802,,,,,,
CG. caudimacula (Quoy,"and Gatmard,",1834),,,,,
"Gomphosus varius Lacepede,",1802,,,,,,
Halichoeres brownfieldi,"(Whitley, 19:45)",,,,,,
"Hl. margmatus Riippell,",$835,,,,,,
"HH. nebulosus (Valenciennes,",1839),,,,,,
Henmigymnus fasciatus,"(Bloch, 1792)",,,,,,
"HH, melapterus (Bloch,",1791),,,,,,
Hologymnosus annulatus,"(Lacepede,",1801),,,,,
Labroides dimidiatus,"(Valenciennes, 1839)",,,,,,
Macropharyngodon,"ornatus Randall,",1978,,,,,
"Notolabrus parilus (Richardson,",1850),,,,,,
Pseudojuloides elongatus,Ayling and,"Russell,",,1977.0,,,
Pteragogus flagellifera,"(Valenciennes,",1839),,,,,
Stethojulis bandanensts,"(Bleeker, 1851)",,,,,,
"S. interrupla (Bleeker,",1851),,,,,,
"S. strigiventer (Bennett,",1832),,,,,,
Suezichthys cyanolaemus,"Russell, 1985",,,,,,
Thalassoma amblycephalum,"(Bleeker,",1856),,,,,
"T. hardwichet (Bennett,",1830),,,,,,
"T. jansenit ( Bleecker,",1856),,,,,,
"T. lunare (Linnaeus,",1758),,,,,,
T. lutescens (Lay and,"Bennett, 1839)",,,,,,
"T) purpureian (Forsskal,",1775),,,,,,
"T septemfasciata Scott,",1959,,,,,,
SCARIDAE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,,,
Leptoscarus vaigiensis (Quoy,and,,"Gaimard,",182-4),,,
"Scarus festivus Valenciennes,",1810,,,,,,
"S. frenatus Lacepede, 1802",,,,,,,
"S. ghobban Forsskal, 1775",,,,,,,
"S. gibbus Ritppell, 1828",,,,,,,
"S. rtoulatus Valenciennes, 1839",,,,,,,
"S. rubroviolaceus Bleeker, 1819",,,,,,,
"S. schlegelt (Bleeker, 1861)",,,,,,,
"S. sordidus Forsskal, 1775",,,,,,,
MUGILOIDIDAE,,,,,,,
"Parapercis clathrata Ogilby,",1910,,,,,,
"P. haackei (Steindachner, 188-4)",,,,,,,
"P. nebdlosa (Quoy and Gaimard,",,,182-1),,,,
CREEDIDAF,,,,,,,
"Squamicreedia obtusa Rendahl,",,1921,,,,,
BLENNITDAE,,,,,,,
Aspidontus taeniatus Quoy,and,,"Gannard,",1834,,,
Cirripectes filamentosus (Alleyne,,,"and Macleay,",1877),,,
"C. hutchinst Williams, 1988",,,,,,,
"Ecsenius bicolor (Day, 1888)",,,,,,,
"LE. oculus Springer, 197]",,,,,,,
Entomacrodus striatus (Quoy,and,,"Gaimard,",1836),,,
Istiblennius edentulus (Bloch,and,,"Schneider,",1801),,,
"I, meleagris (Valenciennes, 1836)",,,,,,,
Liaphognathus multimaculatus,,"Smith,",1955,,,,
"Meiacanthus grammistes (Valenciennes,",,,1836),,,,
"Omobranchus germaini (Sauvage,",,,1883),,,,
"Petroscirtes breviceps Valenciennes,",,,1856,,,,
"P. mitratus Ritppell, 1830",,,,,,,
Plagiotvemus rhinorhynchos,"(Bleeker,",,1852),,,,
"Po tapemosoma (Bleeker, 1857)",,,,,,,
"Salarias fasciatus (Bloch, 1786)",,,,,,,
"Stanulus talbott Springer, 1968",,,,,,,
TRIP TERYGIDAE,,,,,,,
Helcogramma decaarens McCulloch,,,"and Waite,",1918,,,
Helcogramma species,,,,,,,
"Norfolkia brachylepis (Schultz,",,,1960),,,,
Enneapteryeztus species,,,,,,,
CLINIDAE,,,,,,,
HHeteroclinus species,,,,,,,
GOBHDAE,,,,,,,
"Amoblygobius phalaena (Valenciennes,",,,1837),,,,
"Bathygobius cocosensis (Bleeker,",,,185-4),,,,
"Cryptocentrus fasciatus (Playfair,",,,1866),,,,
Fviota bimaculata Lachner,and,,"Karnella,",1980,,,
E. smaragdus Jordan,"and Seale,",1906,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Lk. storthynx (Rofen,",1959),,,,,,
Eviota species |,,,,,,,
Eviota species 2,,,,,,,
Fusigobius duospilus,Hoese and,"Reader,",1985,,,,
Fusigobius species,,,,,,,
Gnatholepis inconsequens,"Whitley,",,1958,,,,
"Gobiodon citrinus (Riippell,",1838),,,,,,
G. quinquestrigatus,"(Valenciennes,",,1837),,,,
"Istigobius decoratus (terre,",1927),,,,,,
"I. nigroocellatus (Giinther,",1873),,,,,,
"Priolepis cinctus (Regan,",1908),,,,,,
"P. nuchifasciatus (Gitmther,",1873),,,,,,
"P. semidoliatus (Valenciennes,",1837),,,,,,
P. spectes,,,,,,,
Ptereleotris evides (Jordan,"and Wubbs,",,1925),,,,
"Trimma okinawae (Aoyagi,",19:19),,,,,,
Valenciennea immaculatus,"Ni Yong,",,198],,,,
V. longipouius (Lay and,"Bennett,",1839),,,,,
"VY. puellaris (lomiyama,",1956),,,,,,
PV. species,,,,,,,
ACAN'THURIDAE,,,,,,,
Acanthurus grammoptilus,"Richardson,",,1813,,,,
"dA. mata (Cuvier, 1829)",,,,,,,
"A. olivaceus Schneider,",1801,,,,,,
"A. triostegus (Linnacus,",1758),,,,,,
"Naso tuberosus Lacepede,",1802,,,,,,
"N. unicornis (Forsskal,",1775),,,,,,
Zebrasoma veliferian,"(Bloch, 1797)",,,,,,
SIGANIDAE,,,,,,,
"Siganus fuscescens (Houttuyn,",1782),,,,,,
SCOMBRIDAL,,,,,,,
Grammatorcynus bicarinatus,(Quoy,,"and Gaimard,",,,,182-1)
Scomberomorus commerson,"(Lacepede,",,1800),,,,
GOBIFSOCIDAE,,,,,,,
Lepadichthys sandaracatus,"Whitley,",,1913,,,,
CALLIONYMIDAE,,,,,,,
Callionymus calcaratus,"Macleay,",1881,,,,,
"C. goodladi (Whitey,",19-14),,,,,,
BOTHIDAE,,,,,,,
Engyprosopon species,,,,,,,
CYNOGLOSSIDAE,,,,,,,
Cynoglossus maculipinnis,"Rendahl,",,1921,,,,
BALISTIDAE,,,,,,,
Sufflamen chrysopterus,(Bloch and,,"Schneider,",,,1801),
"S. fraenatus (Latreie,",180-1),,,,,,
MONACANTHIDAE,Unnamed: 1,;,Unnamed: 3,,,,
"Cantherhines fronticinctus (Giinther,",1866),,,,,,
"C. pardalis (Riippell, 1835)",,,,,,,
"Colurdontis paxmani Wutchins, 1977",,,,,,,
"Monacanthus chinensis (Osbeck, 1765)",,,,,,,
Oxymonacanthus longirostris (Bloch,and,"Schneider,",1801),,,,
"Pervagor janthinosoma (Bleecker, 1854)",,,,,,,
Stephanolepis spectes,,,,,,,
ARACANIDAE,,,,,,,
"dnoplocapros robustus (Fraser-Brumner,",,1941),,,,,
OS TRACIIDAE,,,,,,,
"Ostracion cubicus Linnaeus, 1758",,,,,,,
"O. meleagris Shaw, 1796",,,,,,,
TE TRAODONTIDAE,,,,,,,
"Arothron hispidus (Lannacus, 1758)",,,,,,,
"A. stellatus (Bloch and Schneider, 1801)",,,,,,,
DIODONTIDAE,,,,,,,
"Diodon holocanthus Linnaeus, 1758",,,,,,,
