FAMILIA ESPECIE,Unnamed: 1,CX,YU,SC,EB,GO,IC,PM,PR,PO,RA,AC,FAMILIA,ESPECIE,R,E B
,,,,,,,,,,,,,,S. plumiere mystes,,X
,,X,X,X,,,,,,,,,Sciaenidae,Umbrina xanti,,X
,,X,,,,,,,,,,,,U. analis,,X
,,,X,,,,,,,,,,Scombridae,Scoberomorus sierra,,X
,,,,,,,,,,,,,,Euthynnus linneatus,,X
,,,,,,,,,,,,,Serranidae,Alphestes,,
,,,,,,,,,,,,X,,,,
,,,,,,,,,,,,,,multtigutatus,,
,,,,,,,,,,,,,,Diplectrum,,
,,,,,,,,,,,,X,,,,
,,,,,,,,,,,,,,pacificum,,
,,,,,,,,,,,,,,Epinephelus,,
,,,,,,X,,,,,,,,,,X
,,,,,,,,,,,,,,labriformis,,
,,,,,,,,,,,,X,,E. analogus,,
,,,,,,X,,X,,X,,,,E. itajara,,X
,,,,,,,,X,,,,X,,E. acanthistius,,
,,,,,,X,,,,,,,,E. panamensis,,X
,,,,,,X,,,,,,,,Serranus psittacinus,,
,,,,,,,,,,,,,Sparidae,Calamus,,
,,,,,,,,,,X,,,,,,
,,,,,,,,,,,,,,brachysomus,,
,,,,X,,X,,,,,X,,Sphyraenidae,Sphyraena ensis,,
,,,,,,,,X,,,,,Syngnatthidae,Syngnathus auliscus,,
,,,,,,,,,,,,,,Doryrhamphus,,
,,,,,,,,X,,,,,,,,
,,,,,,,,,,,,,,excisus,,
,,,,,,,,X,,,,,Synodontidae,Synodus lacertinus,,
,,,,,,X,,X,,,,,,S. sechurae,,
,,,,,,,,,,,,X,,S. evermanni,,
,,,,,,X,,,,,,,,S. scituliceps,,X
,,,,,,X,,X,,,,,Tetraodontidae,Arothon meleagris,,X
,,,,X,,X,,X,,,,X,,A. hispidus,,X
,,,,,,,,,,,,,,Canthigaster,,
,,,,,,X,,,,,,,,,,X
,,,,,,,,,,,,,,punctatissima,,
,,,,X,,,,,,,,,,Sphoeroides sp.,,
,,,,X,,,,,,,,,,S. anulatus,,
,,,,X,,X,,,,,,X,,S. lobatus,,
,,,,,,,,,,,,X,Triglidae,Prionotus albirostris,,X
,,X,,,,X,,,X,X,,,Zanclidae,Zanclus cornutus,,X
