Taxa,Genus,Family,Order,Class,Number of individuals,Biomass (kg)
Synodus doaki,Synodus,Synodontidae,Aulopiformes,Osteichthyes,1,0.05
Synodus similis,Synodus,Synodontidae,Aulopiformes,Osteichthyes,1,0.1
Talismania longifilis,Talismania,Alepocephalidae,Osmeriformes,Osteichthyes,25,7.1
Thamnaconus analis,Thamnaconus,Monacanthidae,Tetraodontiformes,Osteichthyes,21,1.4
Thamnaconus cf.modestoides,Thamnaconus,Monacanthidae,Tetraodontiformes,Osteichthyes,8,6.4
Thamnaconus sp.A,Thamnaconus,Monacanthidae,Tetraodontiformes,Osteichthyes,1,0.01
Torpedo macneilli,Torpedo,Torpedinidae,Rajiformes,Chondrichthyes,2,16.1
Torquigener sp.A,Torquigener,Tetraodontidae,Tetraodontiformes,Osteichthyes,1,0.01
Trachonurus gagates,Trachonurus,Macrouridae,Gadiformes,Osteichthyes,116,26.3
Trachonurus sp.NFZ1,Trachonurus,Macrouridae,Gadiformes,Osteichthyes,2,0.3
Trachonurus villosus,Trachonurus,Macrouridae,Gadiformes,Osteichthyes,24,2
Trachyscorpia capensis,Trachyscorpia,Scorpaenidae,Scorpaeniformes,Osteichthyes,10,9.9
Trachyscorpia sp,Trachyscorpia,Scorpaenidae,Scorpaeniformes,Osteichthyes,44,18.31
Tripterophycis gilchristi,Tripterophycis,Moridae,Gadiformes,Osteichthyes,6,0.211
Tripterophycis sp.A,Tripterophycis,Moridae,Gadiformes,Osteichthyes,9,0.91
Uranoscopus sp.A,Uranoscopus,Uranoscopidae,Perciformes,Osteichthyes,1,0.3
Venefica sp.A,Venefica,Nettastomatidae,Anguilliformes,Osteichthyes,14,1.32
Ventrifossa atherodon,Ventrifossa,Macrouridae,Gadiformes,Osteichthyes,1,0.01
Ventrifossa johnboborum,Ventrifossa,Macrouridae,Gadiformes,Osteichthyes,3,0.31
Ventrifossa macropogon,Ventrifossa,Macrouridae,Gadiformes,Osteichthyes,2,0.2
Ventrifossa paxtoni,Ventrifossa,Macrouridae,Gadiformes,Osteichthyes,1,0.4
Wattsia sp.A,Wattsia,Lethrinidae,Perciformes,Osteichthyes,1,
Xenodermichthys copei,Xenodermichthys,Alepocephalidae,Osmeriformes,Osteichthyes,6,0.13
Xenodermichthys sp,Xenodermichthys,Alepocephalidae,Osmeriformes,Osteichthyes,1,0.5
Zameus squamulosus,Zameus,Somniosidae,Squaliformes,Chondrichthyes,2,1.6
Zanclistius elevatus,Zanclistius,Pentacerotidae,Perciformes,Osteichthyes,4,2.3
Zenion sp.A,Zenion,Zeniontidae,Zeiformes,Osteichthyes,1,0.01
Zenion sp.B,Zenion,Zeniontidae,Zeiformes,Osteichthyes,350,2.5
Zenopsis nebulosus,Zenopsis,Zeidae,Zeiformes,Osteichthyes,117,123.9
Zeus faber,Zeus,Zeidae,Zeiformes,Osteichthyes,1,0.5
