datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2022-05-09T10:45:57	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2453	Animalia	Chordata			Tripterygiidae	Enneanectes	altivelis		Enneanectes altivelis	Rosenblatt, 1960		2012	08	06	T. Simon & E. F. Mazzei					T. Simon						Praia do EME, Ilha da Trindade	-20,512	-29,317	-29.317	-20.512								Formol 10% -> Álcool 70%	2				<nO>Coletado com Puçá + Q. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-11-30T14:57:07	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3798	Animalia	Chordata			Sparidae	Archosargus	probatocephalus		Archosargus probatocephalus	(Walbaum, 1792)		2019	06	09	H. Guabiroba et al.					H. Guabiroba					Aracruz	Piraquê-Açú, ES (Interno)	-19,56833	-40,11659	-40.11659	-19.56833								Formol 10% --> Álcool 70%	1				<nO>Arrasto com portas/ PA0U1 / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-05-09T10:45:42	PreservedSpecimen	Brasil	Rio de Janeiro	UFES	CIUFES	38	Animalia	Chordata			Gobiidae	Bathygobius	soporator		Bathygobius soporator	(Valenciennes, 1837)		2004	02	13	J-C. Joyeux					J. V. Tassell					Arraial do Cabo	Praia dos Anjos	-22,966	-42,029	-42.029	-22.966								Álcool 92,8%	3				<nO>Coletado em mergulho com puçá. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:58	PreservedSpecimen	França	85	UFES	CIUFES	1138	Animalia	Chordata			Cottidae	Myoxocephalus	scorpius		Myoxocephalus scorpius	(Linnaeus, 1758)		2008	08	19	J-C. Joyeux					J.-C. Joyeux	2009	01	07		Les Sables D'Olonne	La Chaume	46,5	-1,81	-1.81	46.5								Formol 10% -> Álcool 70%	7				<nO>Coletado com puçá manual em poça de maré; 46N 29' 36" /01W 48' 51"; Presente;</nO>																					
2022-05-09T10:45:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	131256	Animalia	Chordata			Clupeidae	Sardinella	janeiro		Sardinella janeiro	Eigenmann, 1894		1988	05	07	E. C. Perrone & J. L. Gasparini					J. L. Gasparini					Vitória	Praia das Cocotas - Ilha do Frade	-20,301	-40,279	-40.279	-20.301									2				<nO>Coletado com rede picaré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-11-30T14:57:08	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4529	Animalia	Chordata			Tetraodontidae	Lagocephalus	laevigatus		Lagocephalus laevigatus	(Linnaeus, 1758)		2022	02	06	F. Toscano et. al.					H. Guabiroba & F. Toscano					Aracruz	Estuário Piraquê-açú, Aracruz - ES (Interno)	-19,57037	-40,11201	-40.11201	-19.57037								Formol 10% --> Álcool 70%	1				<nO>Arrasto com portas/ PA0U3/ Coordenadas obtidas in situ.; Presente;</nO>																					
2022-05-09T10:45:51	PreservedSpecimen	Brasil	Rio Grande do Norte	UFES	CIUFES	2880	Animalia	Chordata			Labrisomidae	Malacoctenus	sp.		Malacoctenus sp.			2013	05	27	R. M. Macieira; T. Simon; J. L. Gasparini											Barreta Falsa, Atol das Rocas	-3,865	-33,812	-33.812	-3.865								Álcool 99%	1				<nO>Coletado com puçá. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:34	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4591	Animalia	Chordata			Gobiidae	Ctenogobius	boleosoma		Ctenogobius boleosoma	(Jordan & Gilbert 1882)		2019	06		H. Guabiroba & F. Toscano					H. Guabiroba					Linhares	Rio Doce, Regência, Estuário (Interno)	-19,4064	-40,069420	-40.06942	-19.4064								Formol 10% --> Álcool 70%	56				<nO>Peneira + picaré / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130525	Animalia	Chordata			Eleotridae	Eleotris	pisonis		Eleotris pisonis	(Gmelin, 1789)		1981	08	21	J. L. Helmer & C. Zamprogno										Piúma	Rio Iconha	-20,83	-40,7	-40.7	-20.83									1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:41	PreservedSpecimen	Brasil	Alagoas	UFES	CIUFES	1125	Animalia	Chordata			Gobiidae	Bathygobius	mystacium		Bathygobius mystacium	Ginsburg, 1947		2004	01	22	J-C. Joyeux					C. R. Pimentel & L. B. C. Xavier	2009	01	06			Porto da rua	-9,23	-35,35	-35.35	-9.23								Álcool 92,8%	1				<nO>Coletado à mão em poça de maré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
