ID,Full_Name,Genus,Species,Genus_species,NC
1253,"Gymnocranius grandoculis (Valenciennes in Cuvier & Valenciennes, 1830) ",Gymnocranius,grandoculis,Gymnocranius grandoculis,Present
1254,"Gymnocranius oblongus Borsa, Béarez & Chen, 2010 ",Gymnocranius,oblongus,Gymnocranius oblongus,Present
1255,"Lethrinus atkinsoni (Seale, 1909) ",Lethrinus,atkinsoni,Lethrinus atkinsoni,Present
1256,"Lethrinus erythracanthus Valenciennes in Cuvier & Valenciennes, 1830 ",Lethrinus,erythracanthus,Lethrinus erythracanthus,Present
1257,"Lethrinus genivittatus Valenciennes in Cuvier & Valenciennes, 1830 ",Lethrinus,genivittatus,Lethrinus genivittatus,Present
1258,"Lethrinus harak (Forsskål in Niebuhr, 1775) ",Lethrinus,harak,Lethrinus harak,Present
1259,"Lethrinus laticaudis Alleyne & Macleay, 1877 ",Lethrinus,laticaudis,Lethrinus laticaudis,Present
1260,"Lethrinus lentjan (Lacepède, 1802) ",Lethrinus,lentjan,Lethrinus lentjan,Present
1261,"Lethrinus miniatus (Bloch & Schneider [ex Forster], 1801) ",Lethrinus,miniatus,Lethrinus miniatus,Present
1262,"Lethrinus nebulosus (Forsskål in Niebuhr, 1775) ",Lethrinus,nebulosus,Lethrinus nebulosus,Present
1263,"Lethrinus obsoletus (Forsskål in Niebuhr, 1775) ",Lethrinus,obsoletus,Lethrinus obsoletus,Present
1264,"Lethrinus olivaceus Valenciennes in Cuvier & Valenciennes, 1830 ",Lethrinus,olivaceus,Lethrinus olivaceus,Present
1265,"Lethrinus ravus Carpenter & Randall, 2003 ",Lethrinus,ravus,Lethrinus ravus,Present
1266,"Lethrinus rubrioperculatus Sato, 1978 ",Lethrinus,rubrioperculatus,Lethrinus rubrioperculatus,Present
1267,"Lethrinus semicinctus Valenciennes in Cuvier & Valenciennes, 1830 ",Lethrinus,semicinctus,Lethrinus semicinctus,Present
1268,"Lethrinus variegatus Valenciennes [ex Ehrenberg] in Cuvier & Valenciennes, 1830 ",Lethrinus,variegatus,Lethrinus variegatus,Present
1269,"Lethrinus xanthochilus Klunzinger, 1870 ",Lethrinus,xanthochilus,Lethrinus xanthochilus,Present
1270,"Monotaxis grandoculis (Forsskål in Niebuhr, 1775) ",Monotaxis,grandoculis,Monotaxis grandoculis,Present
1271,"Monotaxis heterodon (Bleeker, 1854) ",Monotaxis,heterodon,Monotaxis heterodon,Present
1272,"Wattsia mossambica (Smith, 1957) ",Wattsia,mossambica,Wattsia mossambica,Present
1273,"Acanthopagrus akazakii Iwatsuki, Kimura & Yoshino, 2006 ",Acanthopagrus,akazakii,Acanthopagrus akazakii,Endemic
1274,"Acanthopagrus berda (Forsskål in Niebuhr, 1775) ",Acanthopagrus,berda,Acanthopagrus berda,Present
1275,"Acanthopagrus novaecaledoniae (Castelnau, 1873) ",Acanthopagrus,novaecaledoniae,Acanthopagrus novaecaledoniae,Endemic
1276,"Dentex fourmanoiri Akazaki & Séret, 1999 ",Dentex,fourmanoiri,Dentex fourmanoiri,Endemic
1277,"Eleutheronema tetradactylum (Shaw, 1804) ",Eleutheronema,tetradactylum,Eleutheronema tetradactylum,Present
1278,"Polydactylus microstomus (Bleeker, 1851) ",Polydactylus,microstomus,Polydactylus microstomus,Present
1279,"Polydactylus plebeius (Broussonet, 1782) ",Polydactylus,plebeius,Polydactylus plebeius,Present
1280,"Polydactylus sexfilis (Valenciennes in Cuvier & Valenciennes, 1831) ",Polydactylus,sexfilis,Polydactylus sexfilis,Present
1281,"Mulloidichthys flavolineatus (Lacepède [ex Commerson], 1801) ",Mulloidichthys,flavolineatus,Mulloidichthys flavolineatus,Present
1282,"Mulloidichthys pfluegeri (Steindachner, 1900) ",Mulloidichthys,pfluegeri,Mulloidichthys pfluegeri,Present
1283,"Mulloidichthys vanicolensis (Valenciennes in Cuvier & Valenciennes, 1831) ",Mulloidichthys,vanicolensis,Mulloidichthys vanicolensis,Present
1284,"Parupeneus barberinoides (Bleeker, 1852) ",Parupeneus,barberinoides,Parupeneus barberinoides,Present
1285,"Parupeneus barberinus (Lacepède [ex Commerson], 1801) ",Parupeneus,barberinus,Parupeneus barberinus,Present
1286,"Parupeneus ciliatus (Lacepède, 1802) ",Parupeneus,ciliatus,Parupeneus ciliatus,Present
1287,"Parupeneus crassilabris (Valenciennes in Cuvier & Valenciennes, 1831) ",Parupeneus,crassilabris,Parupeneus crassilabris,Present
1288,"Parupeneus cyclostomus (Lacepède [ex Commerson], 1801) ",Parupeneus,cyclostomus,Parupeneus cyclostomus,Present
1289,"Parupeneus heptacanthus (Lacepède, 1802) ",Parupeneus,heptacanthus,Parupeneus heptacanthus,Present
1290,"Parupeneus indicus (Shaw [ex Russell], 1803) ",Parupeneus,indicus,Parupeneus indicus,Present
1291,"Parupeneus multifasciatus (Quoy & Gaimard, 1825) ",Parupeneus,multifasciatus,Parupeneus multifasciatus,Present
1292,"Parupeneus pleurostigma (Bennett, 1831) ",Parupeneus,pleurostigma,Parupeneus pleurostigma,Present
1293,"Parupeneus spilurus (Bleeker, 1854) ",Parupeneus,spilurus,Parupeneus spilurus,Present
1294,"Upeneus australiae Kim & Nakaya, 2002 ",Upeneus,australiae,Upeneus australiae,Present
1295,"Upeneus filifer (Ogilby, 1910) ",Upeneus,filifer,Upeneus filifer,Present
1296,"Upeneus guttatus (Day, 1868) ",Upeneus,guttatus,Upeneus guttatus,Present
1297,"Upeneus moluccensis (Bleeker, 1855) ",Upeneus,moluccensis,Upeneus moluccensis,Present
1298,"Upeneus mouthami Randall & Kulbicki, 2006 ",Upeneus,mouthami,Upeneus mouthami,Endemic
1299,"Upeneus sulphureus Cuvier in Cuvier & Valenciennes, 1829 ",Upeneus,sulphureus,Upeneus sulphureus,Present
1300,"Upeneus tragula Richardson, 1846 ",Upeneus,tragula,Upeneus tragula,Present
1301,"Upeneus vittatus (Forsskål in Niebuhr, 1775) ",Upeneus,vittatus,Upeneus vittatus,Present
1302,"Parapriacanthus dispar (Herre, 1935) ",Parapriacanthus,dispar,Parapriacanthus dispar,Present
1303,"Parapriacanthus marei Fourmanoir, 1971 ",Parapriacanthus,marei,Parapriacanthus marei,Endemic
1304,"Parapriacanthus ransonneti Steindachner, 1870 ",Parapriacanthus,ransonneti,Parapriacanthus ransonneti,Present
1305,"Pempheris oualensis Cuvier in Cuvier & Valenciennes, 1831 ",Pempheris,oualensis,Pempheris oualensis,Present
1306,"Pempheris schwenkii Bleeker, 1855 ",Pempheris,schwenkii,Pempheris schwenkii,Present
1307,"Pempheris vanicolensis Cuvier in Cuvier & Valenciennes, 1831 ",Pempheris,vanicolensis,Pempheris vanicolensis,Present
1308,"Bathyclupea malayana Weber, 1913 ",Bathyclupea,malayana,Bathyclupea malayana,Present
1309,"Monodactylus argenteus (Linnaeus, 1758) ",Monodactylus,argenteus,Monodactylus argenteus,Present
1310,"Kyphosus cinerascens (Forsskål in Niebuhr, 1775) ",Kyphosus,cinerascens,Kyphosus cinerascens,Present
1311,"Kyphosus pacificus Sakai & Nakabo, 2004 ",Kyphosus,pacificus,Kyphosus pacificus,Present
1312,"Kyphosus sydneyanus (Günther, 1886) ",Kyphosus,sydneyanus,Kyphosus sydneyanus,Present
1313,"Kyphosus vaigiensis (Quoy & Gaimard, 1825) ",Kyphosus,vaigiensis,Kyphosus vaigiensis,Present
1314,"Microcanthus strigatus (Cuvier [ex Langsdorf] in Cuvier & Valenciennes, 1831) ",Microcanthus,strigatus,Microcanthus strigatus,Present
1315,"Drepane punctata (Linnaeus, 1758) ",Drepane,punctata,Drepane punctata,Present
1316,"Amphichaetodon howensis (Waite, 1903) ",Amphichaetodon,howensis,Amphichaetodon howensis,Present
1317,"Chaetodon auriga Forsskål in Niebuhr, 1775 ",Chaetodon,auriga,Chaetodon auriga,Present
1318,"Chaetodon baronessa Cuvier, 1829 ",Chaetodon,baronessa,Chaetodon baronessa,Present
1319,"Chaetodon bennetti Cuvier in Cuvier & Valenciennes, 1831 ",Chaetodon,bennetti,Chaetodon bennetti,Present
1320,"Chaetodon citrinellus Cuvier [ex Broussonet] in Cuvier & Valenciennes, 1831 ",Chaetodon,citrinellus,Chaetodon citrinellus,Present
1321,"Chaetodon ephippium Cuvier in Cuvier & Valenciennes, 1831 ",Chaetodon,ephippium,Chaetodon ephippium,Present
1322,"Chaetodon flavirostris Günther, 1874 ",Chaetodon,flavirostris,Chaetodon flavirostris,Present
1323,"Chaetodon guentheri Ahl, 1923 ",Chaetodon,guentheri,Chaetodon guentheri,Present
1324,"Chaetodon kleinii Bloch, 1790 ",Chaetodon,kleinii,Chaetodon kleinii,Present
1325,"Chaetodon lineolatus Cuvier [ex Quoy & Gaimard] in Cuvier & Valenciennes, 1831 ",Chaetodon,lineolatus,Chaetodon lineolatus,Present
1326,"Chaetodon lunula (Lacepède [ex Commerson], 1802) ",Chaetodon,lunula,Chaetodon lunula,Present
1327,"Chaetodon lunulatus Quoy & Gaimard, 1825 ",Chaetodon,lunulatus,Chaetodon lunulatus,Present
1328,"Chaetodon melannotus Bloch & Schneider, 1801 ",Chaetodon,melannotus,Chaetodon melannotus,Present
1329,"Chaetodon mertensii Cuvier in Cuvier & Valenciennes, 1831 ",Chaetodon,mertensii,Chaetodon mertensii,Present
1330,"Chaetodon meyeri Bloch & Schneider, 1801 ",Chaetodon,meyeri,Chaetodon meyeri,Present
1331,"Chaetodon ornatissimus Cuvier [ex Solander] in Cuvier & Valenciennes, 1831 ",Chaetodon,ornatissimus,Chaetodon ornatissimus,Present
1332,"Chaetodon pelewensis Kner, 1868 ",Chaetodon,pelewensis,Chaetodon pelewensis,Present
1333,"Chaetodon plebeius Cuvier [ex Broussonet] in Cuvier & Valenciennes, 1831 ",Chaetodon,plebeius,Chaetodon plebeius,Present
1334,"Chaetodon rafflesii Anonymous [Bennett], 1830 ",Chaetodon,rafflesii,Chaetodon rafflesii,Present
1335,"Chaetodon reticulatus Cuvier in Cuvier & Valenciennes, 1831 ",Chaetodon,reticulatus,Chaetodon reticulatus,Present
1336,"Chaetodon semeion Bleeker, 1855 ",Chaetodon,semeion,Chaetodon semeion,Present
1337,"Chaetodon speculum Cuvier [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1831 ",Chaetodon,speculum,Chaetodon speculum,Present
1338,"Chaetodon trifascialis Quoy & Gaimard, 1825 ",Chaetodon,trifascialis,Chaetodon trifascialis,Present
1339,"Chaetodon ulietensis Cuvier in Cuvier & Valenciennes, 1831 ",Chaetodon,ulietensis,Chaetodon ulietensis,Present
1340,"Chaetodon unimaculatus Bloch, 1787 ",Chaetodon,unimaculatus,Chaetodon unimaculatus,Present
1341,"Chaetodon vagabundus Linnaeus, 1758 ",Chaetodon,vagabundus,Chaetodon vagabundus,Present
1342,"Coradion altivelis McCulloch, 1916 ",Coradion,altivelis,Coradion altivelis,Present
1343,"Forcipiger flavissimus Jordan & McGregor in Jordan & Evermann, 1898 ",Forcipiger,flavissimus,Forcipiger flavissimus,Present
1344,"Forcipiger longirostris (Broussonet, 1782) ",Forcipiger,longirostris,Forcipiger longirostris,Present
1345,"Hemitaurichthys polylepis (Bleeker, 1857) ",Hemitaurichthys,polylepis,Hemitaurichthys polylepis,Present
1346,"Heniochus acuminatus (Linnaeus, 1758) ",Heniochus,acuminatus,Heniochus acuminatus,Present
1347,"Heniochus chrysostomus Cuvier [ex Parkinson] in Cuvier & Valenciennes, 1831 ",Heniochus,chrysostomus,Heniochus chrysostomus,Present
1348,"Heniochus monoceros Cuvier in Cuvier & Valenciennes, 1831 ",Heniochus,monoceros,Heniochus monoceros,Present
1349,"Heniochus singularius Smith & Radcliffe, 1911 ",Heniochus,singularius,Heniochus singularius,Present
1350,"Heniochus varius (Cuvier, 1829) ",Heniochus,varius,Heniochus varius,Present
1351,"Prognathodes guyotensis (Yamamoto & Tameka in Okamura, Amaoka & Mitani, 1982) ",Prognathodes,guyotensis,Prognathodes guyotensis,Present
1352,"Apolemichthys trimaculatus (Cuvier [ex Lacepède] in Cuvier & Valenciennes, 1831) ",Apolemichthys,trimaculatus,Apolemichthys trimaculatus,Present
1353,"Centropyge bicolor (Bloch, 1787) ",Centropyge,bicolor,Centropyge bicolor,Present
1354,"Centropyge bispinosa (Günther, 1860) ",Centropyge,bispinosa,Centropyge bispinosa,Present
1355,"Centropyge fisheri (Snyder, 1904) ",Centropyge,fisheri,Centropyge fisheri,Present
1356,"Centropyge flavissima (Cuvier in Cuvier & Valenciennes, 1831) ",Centropyge,flavissima,Centropyge flavissima,Present
1357,"Centropyge heraldi Woods & Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Centropyge,heraldi,Centropyge heraldi,Present
1358,"Centropyge loricula (Günther, 1874) ",Centropyge,loricula,Centropyge loricula,Present
1359,"Centropyge multifasciata (Smith & Radcliffe, 1911) ",Centropyge,multifasciata,Centropyge multifasciata,Present
1360,"Centropyge nigriocella Woods & Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Centropyge,nigriocella,Centropyge nigriocella,Present
1361,"Centropyge nox (Bleeker, 1853) ",Centropyge,nox,Centropyge nox,Present
1362,"Centropyge tibicen (Cuvier in Cuvier & Valenciennes, 1831) ",Centropyge,tibicen,Centropyge tibicen,Present
1363,"Centropyge vrolikii (Bleeker, 1853) ",Centropyge,vrolikii,Centropyge vrolikii,Present
1364,"Chaetodontoplus conspicillatus (Waite, 1900) ",Chaetodontoplus,conspicillatus,Chaetodontoplus conspicillatus,Present
1365,"Genicanthus melanospilos (Bleeker, 1857) ",Genicanthus,melanospilos,Genicanthus melanospilos,Present
1366,"Genicanthus watanabei (Yasuda & Tominaga, 1970) ",Genicanthus,watanabei,Genicanthus watanabei,Present
1367,"Pomacanthus annularis (Bloch, 1787) ",Pomacanthus,annularis,Pomacanthus annularis,Present
1368,"Pomacanthus imperator (Bloch, 1787) ",Pomacanthus,imperator,Pomacanthus imperator,Present
1369,"Pomacanthus semicirculatus (Cuvier in Cuvier & Valenciennes, 1831) ",Pomacanthus,semicirculatus,Pomacanthus semicirculatus,Present
1370,"Pomacanthus sexstriatus (Cuvier [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1831) ",Pomacanthus,sexstriatus,Pomacanthus sexstriatus,Present
1371,"Pomacanthus xanthometopon (Bleeker, 1853) ",Pomacanthus,xanthometopon,Pomacanthus xanthometopon,Present
1372,"Pygoplites diacanthus (Boddaert, 1772) ",Pygoplites,diacanthus,Pygoplites diacanthus,Present
1373,"Evistias acutirostris (Temminck & Schlegel, 1844) ",Evistias,acutirostris,Evistias acutirostris,Present
1374,"Pentaceros decacanthus Günther, 1859 ",Pentaceros,decacanthus,Pentaceros decacanthus,Present
1375,"Pentaceros japonicus Steindachner, 1883 ",Pentaceros,japonicus,Pentaceros japonicus,Present
1376,"Pseudopentaceros richardsoni (Smith, 1844) ",Pseudopentaceros,richardsoni,Pseudopentaceros richardsoni,Present
1377,"Mesopristes kneri (Bleeker, 1876) ",Mesopristes,kneri,Mesopristes kneri,Present
1378,"Terapon jarbua (Forsskål in Niebuhr, 1775) ",Terapon,jarbua,Terapon jarbua,Present
1379,"Terapon theraps Cuvier in Cuvier & Valenciennes, 1829 ",Terapon,theraps,Terapon theraps,Present
1380,"Kuhlia marginata (Cuvier in Cuvier & Valenciennes, 1829) ",Kuhlia,marginata,Kuhlia marginata,Present
1381,"Kuhlia mugil (Bloch & Schneider [ex Forster], 1801) ",Kuhlia,mugil,Kuhlia mugil,Present
1382,"Kuhlia munda (De Vis, 1884) ",Kuhlia,munda,Kuhlia munda,Present
1383,"Kuhlia rupestris (Lacepède, 1802) ",Kuhlia,rupestris,Kuhlia rupestris,Present
1384,"Amblycirrhitus bimacula (Jenkins, 1903) ",Amblycirrhitus,bimacula,Amblycirrhitus bimacula,Present
1385,"Cirrhitichthys falco Randall, 1963 ",Cirrhitichthys,falco,Cirrhitichthys falco,Present
1386,"Cirrhitichthys oxycephalus (Bleeker, 1855) ",Cirrhitichthys,oxycephalus,Cirrhitichthys oxycephalus,Present
1387,"Cirrhitus pinnulatus (Bloch & Schneider [ex Forster], 1801) ",Cirrhitus,pinnulatus,Cirrhitus pinnulatus,Present
1388,"Cyprinocirrhites polyactis (Bleeker, 1874) ",Cyprinocirrhites,polyactis,Cyprinocirrhites polyactis,Present
1389,"Neocirrhites armatus Castelnau, 1873 ",Neocirrhites,armatus,Neocirrhites armatus,Present
1390,"Oxycirrhites typus Bleeker, 1857 ",Oxycirrhites,typus,Oxycirrhites typus,Present
1391,"Paracirrhites arcatus (Cuvier [ex Parkinson] in Cuvier & Valenciennes, 1829) ",Paracirrhites,arcatus,Paracirrhites arcatus,Present
1392,"Paracirrhites forsteri (Schneider in Bloch & Schneider, 1801) ",Paracirrhites,forsteri,Paracirrhites forsteri,Present
1393,"Paracirrhites hemistictus (Günther, 1874) ",Paracirrhites,hemistictus,Paracirrhites hemistictus,Present
1394,"Goniistius francisi (Burridge, 2004) ",Goniistius,francisi,Goniistius francisi,Present
1395,"Goniistius vestitus (Castelnau, 1879) ",Goniistius,vestitus,Goniistius vestitus,Present
1396,Owstonia sp ,Owstonia,sp,Owstonia sp,Present
1397,"Oreochromis mossambicus (Peters, 1852) ",Oreochromis,mossambicus,Oreochromis mossambicus,Introduced
1398,"Sarotherodon occidentalis (Daget, 1962) ",Sarotherodon,occidentalis,Sarotherodon occidentalis,Introduced
1399,"Abudefduf septemfasciatus (Cuvier in Cuvier & Valenciennes, 1830) ",Abudefduf,septemfasciatus,Abudefduf septemfasciatus,Present
1400,"Abudefduf sexfasciatus (Lacepède, 1801) ",Abudefduf,sexfasciatus,Abudefduf sexfasciatus,Present
1401,"Abudefduf sordidus (Forsskål in Niebuhr, 1775) ",Abudefduf,sordidus,Abudefduf sordidus,Present
1402,"Abudefduf vaigiensis (Quoy & Gaimard, 1825) ",Abudefduf,vaigiensis,Abudefduf vaigiensis,Present
1403,"Abudefduf whitleyi Allen & Robertson, 1974 ",Abudefduf,whitleyi,Abudefduf whitleyi,Present
1404,"Acanthochromis polyacanthus (Bleeker, 1855) ",Acanthochromis,polyacanthus,Acanthochromis polyacanthus,Present
1405,"Amblyglyphidodon aureus (Cuvier [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1830) ",Amblyglyphidodon,aureus,Amblyglyphidodon aureus,Present
1406,"Amblyglyphidodon curacao (Bloch, 1787) ",Amblyglyphidodon,curacao,Amblyglyphidodon curacao,Present
1407,"Amblyglyphidodon orbicularis (Hombron & Jacquinot in Jacquinot & Guichenot, 1853) ",Amblyglyphidodon,orbicularis,Amblyglyphidodon orbicularis,Present
1408,"Amblyglyphidodon ternatensis (Bleeker, 1853) ",Amblyglyphidodon,ternatensis,Amblyglyphidodon ternatensis,Present
1409,"Amphiprion akindynos Allen, 1972 ",Amphiprion,akindynos,Amphiprion akindynos,Present
1410,"Amphiprion chrysopterus Cuvier in Cuvier & Valenciennes, 1830 ",Amphiprion,chrysopterus,Amphiprion chrysopterus,Present
1411,"Amphiprion clarkii (Bennett, 1830) ",Amphiprion,clarkii,Amphiprion clarkii,Present
1412,"Amphiprion melanopus Bleeker, 1852 ",Amphiprion,melanopus,Amphiprion melanopus,Present
1413,"Amphiprion perideraion Bleeker, 1855 ",Amphiprion,perideraion,Amphiprion perideraion,Present
1414,"Cheiloprion labiatus (Day, 1877) ",Cheiloprion,labiatus,Cheiloprion labiatus,Present
1415,"Chromis acares Randall & Swerdloff, 1973 ",Chromis,acares,Chromis acares,Present
1416,"Chromis agilis Smith, 1960 ",Chromis,agilis,Chromis agilis,Present
1417,"Chromis alpha Randall, 1988 ",Chromis,alpha,Chromis alpha,Present
1418,"Chromis amboinensis (Bleeker, 1871) ",Chromis,amboinensis,Chromis amboinensis,Present
1419,"Chromis analis (Cuvier in Cuvier & Valenciennes, 1830) ",Chromis,analis,Chromis analis,Present
1420,"Chromis atripectoralis Welander & Schultz, 1951 ",Chromis,atripectoralis,Chromis atripectoralis,Present
1421,"Chromis atripes Fowler & Bean, 1928 ",Chromis,atripes,Chromis atripes,Present
1422,"Chromis caudalis Randall, 1988 ",Chromis,caudalis,Chromis caudalis,Present
1423,"Chromis chrysura (Bliss, 1883) ",Chromis,chrysura,Chromis chrysura,Present
1424,"Chromis flavomaculata Kamohara, 1960 ",Chromis,flavomaculata,Chromis flavomaculata,Present
1425,"Chromis fumea (Tanaka, 1917) ",Chromis,fumea,Chromis fumea,Present
1426,"Chromis hypsilepis (Günther, 1867) ",Chromis,hypsilepis,Chromis hypsilepis,Present
1427,"Chromis iomelas Jordan & Seale, 1906 ",Chromis,iomelas,Chromis iomelas,Present
1428,"Chromis lepidolepis Bleeker, 1877 ",Chromis,lepidolepis,Chromis lepidolepis,Present
1429,"Chromis leucura Gilbert, 1905 ",Chromis,leucura,Chromis leucura,Present
1430,"Chromis margaritifer Fowler, 1946 ",Chromis,margaritifer,Chromis margaritifer,Present
1431,"Chromis mirationis Tanaka, 1917 ",Chromis,mirationis,Chromis mirationis,Present
1432,"Chromis nitida (Whitley, 1928) ",Chromis,nitida,Chromis nitida,Present
1433,"Chromis retrofasciata Weber, 1913 ",Chromis,retrofasciata,Chromis retrofasciata,Present
1434,"Chromis ternatensis (Bleeker, 1856) ",Chromis,ternatensis,Chromis ternatensis,Present
1435,"Chromis vanderbilti (Fowler, 1941) ",Chromis,vanderbilti,Chromis vanderbilti,Present
1436,"Chromis viridis (Cuvier [ex Ehrenberg] in Cuvier & Valenciennes, 1830) ",Chromis,viridis,Chromis viridis,Present
1437,"Chromis weberi Fowler & Bean, 1928 ",Chromis,weberi,Chromis weberi,Present
1438,"Chromis xanthochira (Bleeker, 1851) ",Chromis,xanthochira,Chromis xanthochira,Present
1439,"Chromis xanthura (Bleeker, 1854) ",Chromis,xanthura,Chromis xanthura,Present
1440,"Chrysiptera biocellata (Quoy & Gaimard, 1825) ",Chrysiptera,biocellata,Chrysiptera biocellata,Present
1441,"Chrysiptera brownriggii (Bennett, 1828) ",Chrysiptera,brownriggii,Chrysiptera brownriggii,Present
1442,"Chrysiptera cyanea (Quoy & Gaimard, 1825) ",Chrysiptera,cyanea,Chrysiptera cyanea,Present
1443,"Chrysiptera flavipinnis (Allen & Robertson, 1974) ",Chrysiptera,flavipinnis,Chrysiptera flavipinnis,Present
1444,"Chrysiptera glauca (Cuvier in Cuvier & Valenciennes, 1830) ",Chrysiptera,glauca,Chrysiptera glauca,Present
1445,"Chrysiptera notialis (Allen, 1975) ",Chrysiptera,notialis,Chrysiptera notialis,Present
1446,"Chrysiptera rex (Snyder, 1909) ",Chrysiptera,rex,Chrysiptera rex,Present
1447,"Chrysiptera rollandi (Whitley, 1961) ",Chrysiptera,rollandi,Chrysiptera rollandi,Present
1448,"Chrysiptera starcki (Allen, 1973) ",Chrysiptera,starcki,Chrysiptera starcki,Present
1449,"Chrysiptera talboti (Allen, 1975) ",Chrysiptera,talboti,Chrysiptera talboti,Present
1450,"Chrysiptera taupou (Jordan & Seale, 1906) ",Chrysiptera,taupou,Chrysiptera taupou,Present
1451,"Chrysiptera tricincta (Allen & Randall, 1974) ",Chrysiptera,tricincta,Chrysiptera tricincta,Present
1452,"Dascyllus aruanus (Linnaeus, 1758) ",Dascyllus,aruanus,Dascyllus aruanus,Present
1453,"Dascyllus flavicaudus Randall & Allen, 1977 ",Dascyllus,flavicaudus,Dascyllus flavicaudus,Present
1454,"Dascyllus melanurus Bleeker, 1854 ",Dascyllus,melanurus,Dascyllus melanurus,Present
1455,"Dascyllus reticulatus (Richardson, 1846) ",Dascyllus,reticulatus,Dascyllus reticulatus,Present
1456,"Dascyllus trimaculatus (Rüppell, 1829) ",Dascyllus,trimaculatus,Dascyllus trimaculatus,Present
1457,"Dischistodus fasciatus (Cuvier in Cuvier & Valenciennes, 1830) ",Dischistodus,fasciatus,Dischistodus fasciatus,Present
1458,"Dischistodus melanotus (Bleeker, 1857) ",Dischistodus,melanotus,Dischistodus melanotus,Present
1459,"Dischistodus prosopotaenia (Bleeker, 1852) ",Dischistodus,prosopotaenia,Dischistodus prosopotaenia,Present
1460,"Hemiglyphidodon plagiometopon (Bleeker, 1852) ",Hemiglyphidodon,plagiometopon,Hemiglyphidodon plagiometopon,Present
1461,"Lepidozygus tapeinosoma (Bleeker, 1856) ",Lepidozygus,tapeinosoma,Lepidozygus tapeinosoma,Present
1462,"Neoglyphidodon carlsoni (Allen, 1975) ",Neoglyphidodon,carlsoni,Neoglyphidodon carlsoni,Present
1463,"Neoglyphidodon melas (Cuvier [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1830) ",Neoglyphidodon,melas,Neoglyphidodon melas,Present
1464,"Neoglyphidodon nigroris (Cuvier in Cuvier & Valenciennes, 1830) ",Neoglyphidodon,nigroris,Neoglyphidodon nigroris,Present
1465,"Neoglyphidodon polyacanthus (Ogilby, 1889) ",Neoglyphidodon,polyacanthus,Neoglyphidodon polyacanthus,Present
1466,"Neopomacentrus azysron (Bleeker, 1877) ",Neopomacentrus,azysron,Neopomacentrus azysron,Present
1467,"Neopomacentrus bankieri (Richardson, 1846) ",Neopomacentrus,bankieri,Neopomacentrus bankieri,Present
1468,"Neopomacentrus cyanomos (Bleeker, 1856) ",Neopomacentrus,cyanomos,Neopomacentrus cyanomos,Present
1469,"Neopomacentrus filamentosus (Macleay, 1882) ",Neopomacentrus,filamentosus,Neopomacentrus filamentosus,Present
1470,"Neopomacentrus nemurus (Bleeker, 1857) ",Neopomacentrus,nemurus,Neopomacentrus nemurus,Present
1471,"Neopomacentrus taeniurus (Bleeker, 1856) ",Neopomacentrus,taeniurus,Neopomacentrus taeniurus,Present
1472,"Neopomacentrus violascens (Bleeker, 1848) ",Neopomacentrus,violascens,Neopomacentrus violascens,Present
1473,"Parma polylepis Günther, 1862 ",Parma,polylepis,Parma polylepis,Present
1474,"Plectroglyphidodon dickii (Liénard, 1839) ",Plectroglyphidodon,dickii,Plectroglyphidodon dickii,Present
1475,"Plectroglyphidodon imparipennis (Vaillant in Vaillant & Sauvage, 1875) ",Plectroglyphidodon,imparipennis,Plectroglyphidodon imparipennis,Present
1476,"Plectroglyphidodon johnstonianus Fowler & Ball, 1924 ",Plectroglyphidodon,johnstonianus,Plectroglyphidodon johnstonianus,Present
1477,"Plectroglyphidodon lacrymatus (Quoy & Gaimard, 1825) ",Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,Present
1478,"Plectroglyphidodon leucozonus (Bleeker, 1859) ",Plectroglyphidodon,leucozonus,Plectroglyphidodon leucozonus,Present
1479,"Pomacentrus adelus Allen, 1991 ",Pomacentrus,adelus,Pomacentrus adelus,Present
1480,"Pomacentrus amboinensis Bleeker, 1868 ",Pomacentrus,amboinensis,Pomacentrus amboinensis,Present
1481,"Pomacentrus aurifrons Allen, 2004 ",Pomacentrus,aurifrons,Pomacentrus aurifrons,Present
1482,"Pomacentrus bankanensis Bleeker, 1853 ",Pomacentrus,bankanensis,Pomacentrus bankanensis,Present
1483,"Pomacentrus brachialis Cuvier in Cuvier & Valenciennes, 1830 ",Pomacentrus,brachialis,Pomacentrus brachialis,Present
1484,"Pomacentrus burroughi Fowler, 1918 ",Pomacentrus,burroughi,Pomacentrus burroughi,Present
1485,"Pomacentrus chrysurus Cuvier [ex Broussonet] in Cuvier & Valenciennes, 1830 ",Pomacentrus,chrysurus,Pomacentrus chrysurus,Present
1486,"Pomacentrus coelestis Jordan & Starks, 1901 ",Pomacentrus,coelestis,Pomacentrus coelestis,Present
1487,"Pomacentrus grammorhynchus Fowler, 1918 ",Pomacentrus,grammorhynchus,Pomacentrus grammorhynchus,Present
1488,"Pomacentrus imitator (Whitley, 1964) ",Pomacentrus,imitator,Pomacentrus imitator,Present
