ID,Full_Name,Genus,Species,Genus_species,NC
832,Bembradium sp (undescribed) ,Bembradium,sp,Bembradium sp,Present
833,"Bembradium furici Fourmanoir & Rivaton, 1979 ",Bembradium,furici,Bembradium furici,Endemic
834,"Bembradium roseum Gilbert, 1905 ",Bembradium,roseum,Bembradium roseum,Present
835,"Cociella punctata (Cuvier in Cuvier and Valenciennes, 1829) ",Cociella,punctata,Cociella punctata,Present
836,"Cymbacephalus beauforti (Knapp, 1973) ",Cymbacephalus,beauforti,Cymbacephalus beauforti,Present
837,"Cymbacephalus nematophthalmus (Günther, 1860) ",Cymbacephalus,nematophthalmus,Cymbacephalus nematophthalmus,Present
838,"Cymbacephalus staigeri (Castelnau, 1875) ",Cymbacephalus,staigeri,Cymbacephalus staigeri,Present
839,"Onigocia bimaculata Knapp, Imamura & Sakashita, 2000 ",Onigocia,bimaculata,Onigocia bimaculata,Present
840,"Onigocia lacrimalis Imamura & Knapp, 2009 ",Onigocia,lacrimalis,Onigocia lacrimalis,Endemic
841,"Onigocia macrolepis (Bleeker, 1854) ",Onigocia,macrolepis,Onigocia macrolepis,Present
842,"Onigocia pedimacula (Regan, 1908) ",Onigocia,pedimacula,Onigocia pedimacula,Present
843,"Rogadius mcgroutheri Imamura, 2007 ",Rogadius,mcgroutheri,Rogadius mcgroutheri,Present
844,"Rogadius patriciae Knapp, 1987 ",Rogadius,patriciae,Rogadius patriciae,Present
845,"Rogadius pristiger (Cuvier in Cuvier & Valenciennes, 1829) ",Rogadius,pristiger,Rogadius pristiger,Present
846,"Rogadius serratus (Cuvier in Cuvier & Valenciennes, 1829) ",Rogadius,serratus,Rogadius serratus,Present
847,"Rogadius welanderi (Schultz in Schultz, Woods & Lachner, 1966) ",Rogadius,welanderi,Rogadius welanderi,Present
848,"Sunagocia arenicola (Schultz in Schultz, Woods & Lachner, 1966) ",Sunagocia,arenicola,Sunagocia arenicola,Present
849,"Sunagocia otaitensis (Cuvier [ex Parkinson] in Cuvier & Valenciennes, 1829) ",Sunagocia,otaitensis,Sunagocia otaitensis,Present
850,"Thysanophrys celebica (Bleeker, 1854) ",Thysanophrys,celebica,Thysanophrys celebica,Present
851,"Thysanophrys chiltonae Schultz in Schultz, Woods & Lachner, 1966 ",Thysanophrys,chiltonae,Thysanophrys chiltonae,Present
852,"Hoplichthys citrinus Gilbert, 1905 ",Hoplichthys,citrinus,Hoplichthys citrinus,Present
853,"Ambassis buruensis Bleeker, 1856 ",Ambassis,buruensis,Ambassis buruensis,Present
854,"Ambassis interrupta Bleeker, 1852 ",Ambassis,interrupta,Ambassis interrupta,Present
855,"Ambassis miops Günther, 1872 ",Ambassis,miops,Ambassis miops,Present
856,"Bathysphyraenops simplex Parr, 1933 ",Bathysphyraenops,simplex,Bathysphyraenops simplex,Present
