Group,,Scientific Name,English Name
,28,Aethaloperca rogaa,Redmouth grouper
,29,Alepes kleinii,Razorbelly scad
,30,Aluterus scriptus,Scrawled filefish
,31,Amanses scopas,Broom filefish
,32,Amblyglyphidodon aureus,Golden damselfish
,33,Amblyglyphidodon curacao,Staghorn damselfish
,34,Amblyglyphidodon leucogaster,Yellowbelly damselfish
,35,Amblygobius decussatus,Orange-striped goby
,36,Amblypomacentrus breviceps,Black-banded demoiselle
,37,Amphiprion akindynos,Barrier reef anemonefish
,38,Amphiprion chrysopterus,Orangefin anemonefish
,39,Amphiprion clarkii,Yellowtail clownfish
,40,Amphiprion frenatus,Tomato clownfish
,41,Amphiprion melanopus,Fire clownfish
,42,Amphiprion ocellaris,Clown anemonefish
,43,Amphiprion perideraion,Pink anemonefish
,44,Amphiprion sebae,Sebae anemonefish
,45,Anampses caeruleopunctatus,Bluespotted wrasse
,46,Anampses femininus,Blue-striped orange tamarin
,47,Anampses geographicus,Geographic wrasse
,48,Anampses melanurus,White-spotted wrasse
,49,Anampses meleagrides,Spotted wrasse
,50,Anampses neoguinaicus,New Guinea wrasse
,51,Anampses twistii,Yellowbreasted wrasse
,52,Anyperodon leucogrammicus,Slender grouper
,53,Aphareus furca,Small toothed jobfish
,54,Aphareus rutilans,Rusty jobfish
,55,Ostorhinchus angustatus,Broadstriped cardinalfish
,56,Ostorhinchus aureus,Ring-tailed cardinalfish
,57,Pristiapogon kallopterus,Bridled cardinalfish
,58,Apolemichthys trimaculatus,Threespot angelfish
,59,Aprion virescens,Green jobfish
,60,Arothron hispidus,White-spotted puffer
,61,Arothron meleagris,Guineafowl puffer
,62,Arothron nigropunctatus,Blackspotted puffer
,63,Arothron stellatus,Starry toadfish
,64,Aspidontus taeniatus,False cleanerfish
,65,Atrosalarias fuscus,
,66,Aulostomus chinensis,Chinese trumpetfish
,67,Balistapus undulatus,Orange-lined triggerfish
,68,Balistes vetula,Queen triggerfish
,69,Balistoides conspicillum,Clown triggerfish
,70,Balistoides viridescens,Titan triggerfish
,71,Belonoperca chabanaudi,Arrowhead soapfish
,72,Bodianus axillaris,Axilspot hogfish
,73,Bodianus diana,Diana's hogfish
,74,Bodianus mesothorax,Splitlevel hogfish
,75,Bolbometopon muricatum,Bumphead parrotfish
,76,Caesio caerulaurea,Blue and gold fusilier
,77,Caesio cuning,Redbelly yellowtail fusilier
,78,Caesio lunaris,Lunar fusilier
,79,Caesio teres,Yellow and blueback fusilier
,80,Calotomus carolinus,Stareye parrotfish
,81,Cantherhines dumerilii,Whitespotted filefish
,82,Canthigaster amboinensis,Spider-eye puffer
,83,Canthigaster bennetti,Bennett's sharpnose puffer
,84,Canthigaster compressa,Compressed toby
,85,Canthigaster coronata,Crowned puffer
,86,Canthigaster epilampra,Lantern toby
,87,Canthigaster solandri,Spotted sharpnose
,88,Canthigaster valentini,Valentinni's sharpnose puffer
,89,Carangoides bajad,Orangespotted trevally
,90,Carangoides ferdau,Blue trevally
,91,Carangoides fulvoguttatus,Yellowspotted trevally
,92,Carangoides gymnostethus,Bludger
,93,Carangoides oblongus,Coachwhip trevally
,94,Carangoides orthogrammus,Island trevally
,95,Carangoides plagiotaenia,Barcheek trevally
,96,Caranx ignobilis,Giant trevally
,97,Caranx lugubris,Black jack
,98,Caranx melampygus,Bluefin trevally
,99,Caranx sexfasciatus,Bigeye trevally
,100,Caranx tille,Tille trevally
,101,Centropyge bicolor,Bicolor angelfish
,102,Centropyge bispinosa,Twospined angelfish
,103,Centropyge fisheri,White-tailed pygmy angelfish
,104,Centropyge heraldi,Yellow angelfish
,105,Centropyge nox,Midnight angelfish
,106,Centropyge tibicen,Keyhole angelfish
,107,Centropyge vrolikii,Pearlscale angelfish
,108,Cephalopholis argus,Peacock hind
,109,Cephalopholis boenak,Chocolate hind
,110,Chromis ovatiformis,Ovate chromis
,111,Cephalopholis cyanostigma,Bluespotted hind
,112,Cephalopholis leopardus,Leopard hind
,113,Cephalopholis miniata,Coral hind
,114,Cephalopholis sexmaculata,Sixblotch hind
,115,Cephalopholis sonnerati,Tomato hind
,116,Cephalopholis spiloparaea,Strawberry hind
,117,Cephalopholis urodeta,Darkfin hind
,118,Cetoscarus bicolor,Bicolour parrotfish
,119,Chaetodon adiergastos,Panda butterflyfish
,120,Chaetodon argentatus,Asian butterflyfish
,121,Chaetodon auriga,Threadfin butterflyfish
,122,Chaetodon auripes,Oriental butterflyfish
,123,Chaetodon austriacus,Blacktail butterflyfish
,124,Chaetodon baronessa,Eastern triangular butterflyfish
,125,Chaetodon bennetti,Bluelashed butterflyfish
,126,Chaetodon burgessi,Burgess' butterflyfish
,127,Chaetodon citrinellus,Speckled butterflyfish
,128,Chaetodon collare,Redtail butterflyfish
,129,Chaetodon ephippium,Saddle butterflyfish
,130,Chaetodon fasciatus,Diagonal butterflyfish
,131,Chaetodon guentheri,Crochet butterflyfish
,132,Chaetodon kleinii,Sunburst butterflyfish
,133,Chaetodon lineolatus,Lined butterflyfish
,134,Chaetodon lunula,Raccoon butterflyfish
,135,Chaetodon lunulatus,Oval butterflyfish
,136,Chaetodon melannotus,Blackback butterflyfish
,137,Chaetodon melapterus,Arabian butterflyfish
,138,Chaetodon mertensii,Atoll butterflyfish
,139,Chaetodon meyeri,Scrawled butterflyfish
,140,Chaetodon nippon,Japanese butterflyfish
,141,Chaetodon ocellicaudus,Spot-tail butterflyfish
,142,Chaetodon octofasciatus,Eightband butterflyfish
,143,Chaetodon ornatissimus,Ornate butterflyfish
,144,Chaetodon oxycephalus,Spot-nape butterflyfish
,145,Chaetodon punctatofasciatus,Spotband butterflyfish
,146,Chaetodon rafflesii,Latticed butterflyfish
,147,Chaetodon semeion,Dotted butterflyfish
,148,Chaetodon speculum,Mirror butterflyfish
,149,Chaetodon trifascialis,Chevron butterflyfish
,150,Chaetodon ulietensis,Pacific double-saddle butterflyfish
,151,Chaetodon unimaculatus,Teardrop butterflyfish
,152,Chaetodon vagabundus,Vagabond butterflyfish
,153,Chaetodon wiebeli,Hongkong butterflyfish
,154,Chaetodontoplus mesoleucus,Vermiculated angelfish
,155,Cheilinus chlorourus,Floral wrasse
,156,Cheilinus fasciatus,Redbreast wrasse
,157,Cheilinus trilobatus,Tripletail wrasse
,158,Cheilinus undulatus,Humphead wrasse
,159,Cheilio inermis,Cigar wrasse
,160,Cheilodipterus artus,Wolf cardinalfish
,161,Cheilodipterus macrodon,Large toothed cardinalfish
,162,Chelmon rostratus,Copperband butterflyfish
,163,Chlorurus bleekeri,Bleeker's parrotfish
,164,Chlorurus bowersi,Bower's parrotfish
,165,Chlorurus frontalis,Tan-faced parrotfish
,166,Chlorurus japanensis,Palecheek parrotfish
,167,Chlorurus microrhinos,Steephead parrots
,168,Chlorurus perspicillatus,Spectacled parrotfish
,169,Chlorurus spilurus,Daisy parrotfish
,170,Chlorurus strongylocephalus,Indian Ocean steephead parrotfish
,171,Choerodon anchorago,Orange-dotted tuskfish
,172,Choerodon graphicus,Graphic tuskfish
,173,Choerodon jordani,Jordan's tuskfish
,174,Choerodon venustus,Venus tuskfish
,175,Chromis acares,Midget chromis
,176,Chromis agilis,Agile chromis
,177,Chromis amboinensis,Ambon chromis
,178,Chromis analis,Yellow chromis
,179,Chromis atripectoralis,Black-axil chromis
,180,Chromis atripes,Dark-fin chromis
,181,Chromis caudalis,Blue-axil chromis
,182,Chromis chrysura,Stout chromis
,183,Chromis delta,Deep reef chromis
,184,Chromis elerae,Twinspot chromis
,185,Chromis flavipectoralis,Malayan chromis
,186,Chromis fumea,Smokey chromis
,187,Chromis iomelas,Half-and-half chromis
,188,Chromis lepidolepis,Scaly chromis
,189,Chromis leucura,Whitetail chromis
,190,Chromis lineata,Lined chromis
,191,Chromis margaritifer,Bicolor chromis
,192,Chromis nitida,Barrier reef chromis
,193,Chromis notata,Pearl-spot chromis
,194,Chromis opercularis,Doublebar chromis
,195,Chromis retrofasciata,Black-bar chromis
,196,Chromis scotochiloptera,Philippines chromis
,197,Chromis ternatensis,Ternate chromis
,198,Chromis viridis,Blue green damselfish
,199,Chromis weberi,Weber's chromis
,200,Chromis xanthochira,Yellow-axil chromis
,201,Chromis xanthura,Paletail chromis
,202,Chrysiptera biocellata,Twinspot damselfish
,203,Chrysiptera cyanea,Sapphire devil
,204,Chrysiptera glauca,Grey demoiselle
,205,Chrysiptera oxycephala,Blue-spot demoiselle
,206,Chrysiptera parasema,Goldtail demoiselle
,207,Chrysiptera rex,King demoiselle
,208,Chrysiptera rollandi,Rolland's demoiselle
,209,Chrysiptera talboti,Talbot's demoiselle
,210,Chrysiptera traceyi,Tracey's demoiselle
,211,Chrysiptera unimaculata,Onespot demoiselle
,212,Cirrhilabrus cyanopleura,Blueside wrasse
,213,Cirrhilabrus exquisitus,Exquisite wrasse
,214,Cirrhilabrus lubbocki,Lubbock's wrasse
,215,Cirrhitichthys falco,Dwarf hawkfish
,216,Cirrhitichthys oxycephalus,Coral hawkfish
,217,Cirrhitus pinnulatus,Stocky hawkfish
,218,Cirripectes castaneus,Chestnut eyelash-blenny
,219,Cirripectes filamentosus,Filamentous blenny
,220,Coris aurilineata,Goldlined coris
,221,Coris aygula,Clown coris
,222,Coris batuensis,Batu coris
,223,Coris dorsomacula,Pale-barred coris
,224,Coris gaimard,Yellowtail coris
,225,Coris pictoides,Blackstripe coris
,226,Cromileptes altivelis,Humpback grouper
,227,Cryptocentrus octofasciatus,Blue-speckled prawn goby
,228,Ctenochaetus binotatus,Twospot surgeonfish
,229,Ctenochaetus striatus,Striated surgeonfish
,230,Cymbacephalus beauforti,Crocodile fish
,231,Dascyllus aruanus,Whitetail dascyllus
,232,Dascyllus reticulatus,Reticulate dascyllus
,233,Dascyllus trimaculatus,Threespot dascyllus
,234,Dendrochirus zebra,Zebra turkeyfish
,235,Diagramma pictum,Painted sweetlips
,236,Diodon hystrix,Spot-fin porcupinefish
,237,Diproctacanthus xanthurus,Yellowtail tubelip
,238,Ecsenius bicolor,Bicolor blenny
,239,Ecsenius lineatus,Linear blenny
,240,Ecsenius midas,Persian blenny
,241,Ecsenius opsifrontalis,Comical blenny
,242,Elagatis bipinnulata,Rainbow runner
,243,Epibulus insidiator,Sling-jaw wrasse
,244,Epinephelus areolatus,Areolate grouper
,245,Epinephelus bontoides,Palemargin grouper
,246,Epinephelus coeruleopunctatus,"Whitespotted grouper Garrupa, Rock Cod, Small-spotted Rock Cod, Snowy Grouper, Vieille Cuisinier, White-spotted Grouper, Ocellated Rock-cod, White-spotted Reef-cod, White-spotted Rockcod, Whitespotted Rockcod"
,247,Epinephelus fasciatus,"Blacktip grouperBanded Reed Cod, Black-tipped Grouper, Black-tipped Rockcod, Black-tipped Rock-cod, Footballer Cod, Golden Grouper, Red Banded Grouper, Red Banned Grouper, Redbarred Roccod, Rock Cod, Striped Grouper, Banded Rock Cod"
,248,Epinephelus hexagonatus,"Hexagon Grouper, Honeycomb Grouper, Star-spotted Grouper, Starspotted Grouper, White Speckled Rockcod, Wirenetting Cod"
,249,Epinephelus lanceolatus,"Giant Grouper, Queensland Groper, 
 Brindle Bass, Brindled Grouper"
,250,Epinephelus malabaricus,Malabar grouper
,251,Epinephelus merra,"Honeycomb Grouper, Dwarf-spotted Grouper, Honeycomb Rock Cod, Wire-netted Reefcod, Wire-netting Cod, Honeycomb Cod"
,252,Epinephelus ongus,"White-streaked Grouper, Speckled-fin Rockcod, Wavy-lined Grouper, White-speckled Rock Cod, White-streaked Groper, Specklefin Grouper, White-streaked Rockcod"
,253,Epinephelus polyphekadion,Camouflage grouper
