Family,Species Name,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19_ 20,21,22,23_24,25,26_27,28,29,30,31,32_33,34,35,36,LT2,37,LT3,38,LT4,39,LT5,40,41,42,43,44,45,46,47,48,49
Syngnathidae,Cosmocampus arctus,,,,,,,,nuc,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doryrhamphus excisus,,,,,c,c,c,c,c,c,,c,c,r,c,c,c,c,c,r,c,c,c,nuc,c,r,r,c,nuc,r,c,r,,c,,r,,r,,,r,r,,nuc,nuc,c,nuc,
,Hippocampus ingens,,,,,,,,,,,,,r,,,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,r,
Scorpaenidae,Scorpaena histrio,,,,,,,,,,,,,r,,,,,,,,,r,,,,,,,,,,,,,,,,r,,,,,,,,,,
,Scorpaena plumieri mystes,,,,,r,c,r,,c,c,,,nuc,,r,nuc,nuc,uc,r,,nuc,,,,r,,r,c,,,nuc,,,,,r,r,,,r,r,,,r,r,r,r,r
,Scorpaena russula,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scorpaena sonorae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,
,Scorpaenodes xyris,,,,,ncu,c,nuc,,c,c,,,c,,r,c,c,c,c,,c,c,c,c,c,c,c,c,,,c,nuc,,c,,c,nuc,,,nuc,nuc,nuc,,,,,nuc,
Centropomidae,Centropomus medius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,,,,,,,,,,
,Centropomus nigrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?c,,,,,,,,,,,,,,,
,Centropomus robalito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,
,Centropomus unionensis,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,
Serranidae,Alphestes immaculatus,,,,,,nuc,,nuc,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,r,
,Alphestes multiguttatus,,,,,,,,,c,,,,r,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,
,Cephalopholis panamensis,nuc,nuc,c,c,c,c,c,c,c,c,,c,c,,c,c,c,c,c,r,c,c,c,c,c,c,c,c,c,c,c,c,,c,,c,,c,,nuc,c,c,,c,c,c,c,
,Dermatolepis dermatolepis,,,,,r,,r,nuc,,,,nuc,,nuc,,,,nuc,r,nuc,nuc,,,r,nuc,,,r,nuc,nuc,,,,nuc,,nuc,,nuc,,,,,,nuc,nuc,,nuc,
,Epinephelus itajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,
,Epinephelus labriformis,c,nuc,c,c,c,c,c,c,c,c,,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,nuc,c,c,c,,c,c,c,c,c,,c,c,c,c,
,Mycteroperca xenarcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,
,Paranthias colonus,c,,,,c,nuc,c,c,,,,c,c,c,c,,c,c,c,a,c,,c,a,a,c,a,a,a,a,,a,,a,,c,,a,,c,a,a,,a,,,a,
,Pseudogramma thaumasium,,,,,,c,,,c,c,,,c,,,c,c,r,,,,c,c,,c,c,,c,,,c,,,c,,nuc,,,,,,,,,,c,nuc,
,Rypticus bicolor,,r,,,nuc,c,nuc,nuc,c,c,,nuc,c,nuc,c,c,c,c,c,nuc,,c,c,c,c,r,r,c,nuc,nuc,nuc,r,,,,nuc,,,r,,r,r,,nuc,nuc,nuc,r,
,Rypticus nigripinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,nuc,,,,,,,,,,,
