Family,Species,English,Species_indicator_list,Feeding_guild_code,Survey_Date,Year,Transect,Depth,Site,Actual_size,Amount,Size_Class,Median_size_class,Biomass_g
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/19/2021,2021,ARM03_15m_2,15m,ARM03,NA,1,1,3,0.862494161
Chaetodontidae,Forcipiger.flavissimus,Longnose.Butterflyfish,Yes,IN,11/3/2014,2014,ARM06_15m_1,15m,ARM06,NA,1,2,7,5.5566
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,10/31/2014,2014,ARM01_5m_1,5m,ARM01,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,1/27/2015,2014,ARM09_2m_1,2m,ARM09,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/18/2017,2017,ARM01_15m_2,15m,ARM01,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/18/2017,2017,ARM01_15m_3,15m,ARM01,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/20/2017,2017,ARM02_5m_2,5m,ARM02,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/20/2017,2017,ARM03_5m_1,5m,ARM03,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/20/2017,2017,ARM03_5m_3,5m,ARM03,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/21/2017,2017,ARM08_15m_1,15m,ARM08,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/22/2017,2017,ARM06_15m_2,15m,ARM06,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,11/18/2019,2019,ARM01_5m_2,5m,ARM01,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,1/6/2020,2019,ARM02_5m_1,5m,ARM02,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,1/7/2020,2019,ARM04_5m_1,5m,ARM04,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,1/7/2020,2019,ARM04_5m_2,5m,ARM04,NA,1,1,3,0.700830043
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,1/7/2020,2019,ARM11_2m_2,2m,ARM11,NA,1,1,3,0.700830043
