OpCode,Family,Species,Longitude,Latitude
BR13,Labridae,Halichoeres hortulanus,46.208263,-9.437544
BR13,Labridae,Halichoeres cosmetus,46.208263,-9.437544
BR13,Labridae,Gomphosus caeruleus,46.208263,-9.437544
BR13,Carangidae,Gnathanodon speciosus,46.208263,-9.437544
BR13,Chaetodontidae,Forcipiger flavissimus,46.208263,-9.437544
BR13,Labridae,Epibulus insidiator,46.208263,-9.437544
BR13,Acanthuridae,Ctenochaetus truncatus,46.208263,-9.437544
BR13,Acanthuridae,Ctenochaetus striatus,46.208263,-9.437544
BR13,Labridae,Coris aygula,46.208263,-9.437544
BR13,Labridae,Cirrhilabrus exquisitus,46.208263,-9.437544
BR13,Pomacentridae,Chromis weberi,46.208263,-9.437544
BR13,Pomacentridae,Chromis nigrura,46.208263,-9.437544
BR13,Pomacentridae,Chromis fieldi,46.208263,-9.437544
BR13,Scaridae,Chlorurus sordidus,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon meyeri,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon madagaskariensis,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon lineolatus,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon kleinii,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon guttatissimus,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon falcula,46.208263,-9.437544
BR13,Chaetodontidae,Chaetodon bennetti,46.208263,-9.437544
BR13,Serranidae,Cephalopholis nigripinnis,46.208263,-9.437544
BR13,Pomacanthidae,Centropyge multispinis,46.208263,-9.437544
BR13,Carcharhinidae,Carcharhinus melanopterus,46.208263,-9.437544
BR13,Carangidae,Caranx melampygus,46.208263,-9.437544
BR13,Carangidae,Caranx ignobilis,46.208263,-9.437544
BR13,Caesionidae,Caesio xanthonota,46.208263,-9.437544
BR13,Labridae,Bodianus diana,46.208263,-9.437544
BR13,Balistidae,Balistoides viridescens,46.208263,-9.437544
BR13,Balistidae,Balistapus undulatus,46.208263,-9.437544
BR13,Acanthuridae,Acanthurus thompsoni,46.208263,-9.437544
BR13,Acanthuridae,Acanthurus tennentii,46.208263,-9.437544
BR13,Acanthuridae,Acanthurus nigrofuscus,46.208263,-9.437544
BR14,Acanthuridae,Zebrasoma desjardinii,46.212222,-9.441707
BR14,Zanclidae,Zanclus cornutus,46.212222,-9.441707
BR14,Serranidae,Variola louti,46.212222,-9.441707
BR14,Serranidae,Variola albimarginata,46.212222,-9.441707
BR14,Labridae,Thalassoma hebraicum,46.212222,-9.441707
BR14,Labridae,Thalassoma amblycephalum,46.212222,-9.441707
BR14,Balistidae,Sufflamen fraenatum,46.212222,-9.441707
BR14,Balistidae,Sufflamen bursa,46.212222,-9.441707
BR14,Labridae,Stethojulis interrupta,46.212222,-9.441707
BR14,Carangidae,Scomberoides lysan,46.212222,-9.441707
BR14,Scaridae,Scarus tricolor,46.212222,-9.441707
BR14,Scaridae,Scarus scaber,46.212222,-9.441707
BR14,Scaridae,Scarus rubroviolaceus,46.212222,-9.441707
BR14,Scaridae,Scarus psittacus,46.212222,-9.441707
BR14,Scaridae,Scarus frenatus,46.212222,-9.441707
BR14,Pomacanthidae,Pygoplites diacanthus,46.212222,-9.441707
BR14,Labridae,Pseudodax moluccanus,46.212222,-9.441707
BR14,Pomacanthidae,Pomacanthus imperator,46.212222,-9.441707
BR14,Pomacentridae,Plectroglyphidodon johnstonianus,46.212222,-9.441707
BR14,Ephippidae,Platax teira,46.212222,-9.441707
