scientificName,decimalLongitude,decimalLatitude,year,month,day,associatedMedia,datasetName,references
Colpomenia sinuosa,-17.050108,20.769844,2020,2,14,,MarAfrica
Corallina elongata,-17.050108,20.769844,2020,2,15,,MarAfrica
Cystoseira baccata,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira foeniculacea,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira humilis,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira humilis,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira nodicaulis,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira tamariscifolia,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira tamariscifolia,-17.050108,20.769844,2020,2,14,,MarAfrica
Cystoseira tamariscifolia,-17.050108,20.769844,2020,2,14,,MarAfrica
Derbesia furcellata,-17.050108,20.769844,2020,2,14,,MarAfrica
Dictyopteris delicatula,-17.050108,20.769844,2020,2,14,,MarAfrica
Dictyopteris membranacea,-17.050108,20.769844,2020,2,15,,MarAfrica
Dictyota bartayresii,-17.050108,20.769844,2020,2,15,,MarAfrica
Dictyota ciliolata,-17.050108,20.769844,2020,2,13,,MarAfrica
Dictyota ciliolata,-17.050108,20.769844,2020,11,3,,MarAfrica
Dictyota dichotoma,-17.050108,20.769844,2020,11,3,,MarAfrica
Dictyota dichotoma,-17.050108,20.769844,2020,11,3,,MarAfrica
Dictyota dichotoma,-17.050108,20.769844,2020,11,3,,MarAfrica
Dilophus spiralis,-17.050108,20.769844,2020,11,6,,MarAfrica
Enteromorpha flexuosa,-17.050108,20.769844,2020,2,15,,MarAfrica
Ulva intestinalis,-17.050108,20.769844,2020,2,15,,MarAfrica
Ulva intestinalis,-17.050108,20.769844,2020,2,15,,MarAfrica
Ulva intestinalis,-17.050108,20.769844,2020,2,15,,MarAfrica
Ulva prolifera,-17.050108,20.769844,2020,2,15,,MarAfrica
Entophysalis deusta,-17.050108,20.769844,2020,2,14,,MarAfrica
Entophysalis deusta,-17.050108,20.769844,2020,2,15,,MarAfrica
Entophysalis deusta,-17.050108,20.769844,2020,2,15,,MarAfrica
Entophysalis deusta,-17.050108,20.769844,2020,2,15,,MarAfrica
Erythrotrichia boryana,-17.050108,20.769844,2020,2,15,,MarAfrica
Erythrotrichia boryana,-17.050108,20.769844,2020,2,15,,MarAfrica
Erythrotrichia carnea,-17.050108,20.769844,2020,2,15,,MarAfrica
Erythrotrichia carnea,-17.050108,20.769844,2020,2,15,,MarAfrica
Feldmannia irregularis,-17.050108,20.769844,2020,2,15,,MarAfrica
Feldmannia irregularis,-17.050108,20.769844,2020,2,15,,MarAfrica
Feldmannia irregularis,-17.050108,20.769844,2020,2,13,,MarAfrica
Gelidiopsis variabilis,-17.050108,20.769844,2020,2,13,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,2020,2,13,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,2020,2,13,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,2020,2,13,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,2020,2,13,,MarAfrica
Giffordia granulosa,-17.050108,20.769844,2020,2,13,,MarAfrica
Giffordia mitchelliae,-17.050108,20.769844,2020,2,13,,MarAfrica
Giffordia mitchelliae,-17.050108,20.769844,2020,2,13,,MarAfrica
Giffordia mitchelliae,-17.050108,20.769844,2020,2,13,,MarAfrica
Gigartina acicularis,-17.050108,20.769844,2020,2,13,,MarAfrica
Gigartina acicularis,-17.050108,20.769844,2020,2,13,,MarAfrica
Gigartina pistillata,-17.050108,20.769844,2020,2,13,,MarAfrica
Goniotrichum alsidii,-17.050108,20.769844,2020,2,13,,MarAfrica
Goniotrichum alsidii,-17.050108,20.769844,2020,2,13,,MarAfrica
Gracilaria foliifera,-17.050108,20.769844,2020,2,13,,MarAfrica
Gracilaria verrucosa,-17.050108,20.769844,2020,2,13,,MarAfrica
Gymnogongrus patens,-17.050108,20.769844,2020,2,13,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,2020,11,3,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,2020,11,3,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,2020,11,6,,MarAfrica
