Species,S,N,FO%,SL (mm),TW (g),Locality
"Bolinichthys distofax Johnson, 1975",2,85.0,11.0,62 (32–91),6.4 (0.5–23.8),FNR-PB-PE-RN
"Bolinichthys photothorax (Parr, 1928)",1-2,55.0,13.4,53 (22–67),5.8 (0.51–27.8),FNR-PB
"Bolinichthys supralateralis (Parr, 1928)",2,4.0,3.7,75 (50–92),10.2 (6.6–16.3),FNR
"Ceratoscopelus warmingii (Lütken, 1892)",1-2,41.0,20.7,50 (18–74),2.6 (0.5–6.2),FNR-RN
"Dasyscopelus asper (Richardson, 1845)",1-2,53.0,13.4,58 (14–75),3.8 (0.9–7.1),FNR-PE-RN
"Dasyscopelus obtusirostre (Tåning, 1928)",1-2,17.0,9.8,66 (25–84),5.0 (0.6–7.8),FNR-PB-PE-RN
"Dasyscopelus selenops (Tåning, 1928)",2,2.0,3.7,45 (27–59),2.5 (2.2–2.8),FNR-PE
"Diaphus bertelseni Nafpaktitis, 1966",2,2.0,2.4,84 (74–94),8.0 (6.8–9.3),FNR-RN
"Diaphus brachycephalus Tåning, 1928",1-2,470.0,29.3,38 (09–58),1.5 (0.5–17),FNR-PE-RN
"Diaphus dumerilii (Bleeker, 1856)",1-2,114.0,24.4,45 (26–59),2.4 (0.5–11),FNR-PB-PE-RN
"Diaphus fragilis Tåning, 1928",1-2,147.0,24.4,49 (14–86),2.6 (0.4–11.7),FNR-PB-PE-RN
"Diaphus garmani Gilbert, 1906",1-2,137.0,11.0,41 (25–51),2.6 (0.5–9.9),FNR-PE-RN
"Diaphus lucidus (Goode & Bean, 1896)",2,43.0,11.0,76 (31–96),5.3 (1.3–9.7),FNR-PB-PE-RN
"Diaphus mollis Tåning, 1928",1-2,52.0,20.7,48 (15–59),1.9 (0.2–4.0),FNR-RN
"Diaphus perspicillatus (Ogilby, 1898)",1-2,279.0,20.7,49 (18–69),2.1 (0.5–4.9),FNR-PB-PE-RN
"Diaphus problematicus Parr, 1928",1-2,4.0,3.7,69 (52–77),4.1 (1.7–5.8),FNR
"Diaphus splendidus (Brauer, 1904)",1-2,241.0,18.3,53 (20–85),2.3 (0.5–6.6),FNR-PB-PE-RN
"Diogenichthys atlanticus (Tåning, 1928)",1,9.0,3.7,18 (15–23),0.5 (0.2–1.0),FNR
"Electrona risso (Cocco, 1829)",2,76.0,17.1,66 (50–81),7.4 (3.2–12.4),FNR-PB-RN
"Hygophum hygomii (Lütken, 1892)",2,2.0,1.2,53 (52–54),2.2 (1.9–2.4),FNR
"Hygophum macrochir (Günther, 1864)",1-2,28.0,8.5,50 (34–60),1.9 (0.5–8.0),FNR-PB
"Hygophum reinhardtii (Lütken, 1892)",1-2,5.0,3.7,51 (24–76),2.5 (1.2–6.8),FNR
