0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Pomacentrus caeruleus,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Pomacentrus caudalis,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Pomacentrus coelestis,,1.0,,,,,,11.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
Pomacentrus cyanea,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Pomacentrus dickii,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
Pomacentrus imperator,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Pomacentrus lepidogenys,,11.0,1.0,,111.0,1.0,,111.0,,,1.0,,,1111.0,,,11.0,,,11.0,,,1.0,,1.0,,
Pomacentrus magaritifer,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Pomacentrus moluccensis,,11.0,,,11.0,1.0,,1111.0,,,11.0,1.0,,111.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,
Pomacentrus nigromanus,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Pomacentrus pavo,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus philippinus,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Pomacentrus tripunctatus,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
Pomacentrus vaiuli,,1111.0,1.0,,1111.0,,,11.0,,,1111.0,1.0,,111.0,1.0,,11.0,,,11.0,,,1.0,,1.0,,
Pomacentrus xanthura,,11.0,,,11.0,,,1.0,,,1.0,,,11.0,,,11.0,,,1.0,,,,,,,
Pomacentrus sp.,,1.0,,,1.0,,,11.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,
Stegastes lividus,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Priacanthidae - Bigeyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priacanthus hamrur,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,
Pseudochromidae,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 0,Unnamed: 1,20002004200820122014,2018,Unnamed: 4,20002004200820122014.1,2018.1,Unnamed: 7,20002004200820122014.2,2018.2,Unnamed: 10,20002004200820122014.3,2018.3,Unnamed: 13,20002004200820122014.4,2018.4,Unnamed: 16,20002004200820122014.5,2018.5,Unnamed: 19,2004200820122014,2018.6,Unnamed: 22,2000,Unnamed: 24,2018.7,Unnamed: 26,
Pseudochromis marshallensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptereleotridae - Dartfish,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemateleotris magnifica,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
Ptereleotris evides,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Scaridae - Parrotfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolbometopon muricatum,,1111.0,1.0,,,,,1.0,,,11.0,,,,1.0,,,,,,,,,,1.0,,
Cetoscarus bicolor,,11.0,1.0,,11.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,11.0,,,,,1.0,,
Chlorurus bleekeri,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,,,,1.0,,1.0,,
Chlorurus microrhinos,,1111.0,1.0,,111.0,1.0,,1111.0,1.0,,1111.0,,,1111.0,1.0,,11.0,1.0,,1.0,1.0,,,,1.0,,
Chlorurus sordidus,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1.0,,,1.0,,1.0,,
Chlorurus troschelii,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Chlorurus sp.,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,
Hipposcarus longiceps,,111.0,1.0,,11.0,,,11.0,,,11.0,,,11.0,,,1111.0,1.0,,1.0,,,,,1.0,,
Scarus altipinnis,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
Scarus bowersi,,1.0,,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,
Scarus chameleon,,1.0,,,11.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,
Scarus dimidiatus,,111.0,1.0,,1111.0,1.0,,111.0,1.0,,1111.0,1.0,,111.0,1.0,,11.0,1.0,,,,,1.0,,1.0,,
Scarus festivus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus flavipectoralis,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,
Scarus forsteni,,111.0,1.0,,11.0,1.0,,,,,1.0,,,1.0,1.0,,11.0,1.0,,111.0,1.0,,,,1.0,,
Scarus frenatus,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,
Scarus ghobban,,11.0,,,,1.0,,1.0,1.0,,1.0,,,11.0,,,11.0,1.0,,1.0,,,,,1.0,,
Scarus gibbus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus globiceps,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Scarus hypselopterus,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
Scarus javanicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus niger,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,111.0,1.0,,11.0,1.0,,111.0,1.0,,1.0,,1.0,,
Scarus oviceps,,1.0,,,111.0,1.0,,11.0,,,1.0,1.0,,11.0,1.0,,111.0,1.0,,,1.0,,1.0,,1.0,,
Scarus prasiognathus,,11.0,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,
Scarus psittacus,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,
Scarus pyrrhurus,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Scarus rivulatus,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,
Scarus rubroviolaceus,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,
Scarus russelli,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,
Scarus scaber,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus schlegeli,,11.0,1.0,,11.0,,,1.0,,,11.0,,,111.0,,,11.0,1.0,,,,,1.0,,1.0,,
Scarus spinus,,11.0,,,1.0,,,,,,11.0,,,1.0,,,,,,,,,1.0,,1.0,,
Scarus tricolor,,1111.0,1.0,,11.0,,,111.0,1.0,,111.0,,,1.0,,,1.0,,,111.0,1.0,,,,1.0,,
Scarus sp.,,11.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,
Scombridae - tunas/ mackerels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnosorda unicolor,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
Scorpaenidae - scorpionfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrochirus biocellatus,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Pterois antennata,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Pterois volitans,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Scorpaenopsis diabolus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpaenopsis guamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpaenopsis oxycephala,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Serranidae -  basslets/soapfish/groupers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthiinae,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanthias dispar,,111.0,,,11.0,,,1111.0,1.0,,111.0,1.0,,11.0,1.0,,11.0,1.0,,11.0,1.0,,,,1.0,,
Pseudanthias huchtii,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,111.0,1.0,,1111.0,1.0,,111.0,1.0,,,,1.0,,
Pseudanthias octofasciatus,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Pseudanthias pleurotaenia,,11.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,
Pseudanthias randalli,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanthias smithvanizi,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,
Pseudanthias squamipinnis,,1111.0,1.0,,,,,111.0,1.0,,11.0,,,,,,111.0,,,111.0,,,,,1.0,,
Pseudanthias tuka,,111.0,1.0,,1111.0,1.0,,11111.0,1.0,,111.0,1.0,,111.0,1.0,,1111.0,1.0,,111.0,1.0,,,,1.0,,
Pseudanthias sp.,,,,,,,,1.0,,,11.0,,,,,,1.0,,,1.0,,,,,,,
Gramistinae,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammistes sexlineatus,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Pogonoperca punctata,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,
Aethaloperca rogaa,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,111.0,1.0,,11.0,1.0,,1.0,,1.0,,
Epinephilinae,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anyperodon leucogrammicus,,1.0,,,11.0,,,1.0,1.0,,1.0,,,11.0,1.0,,,,,,,,,,1.0,,
Unnamed: 0,Unnamed: 1,20002004200820122014,2018,Unnamed: 4,20002004200820122014.1,2018.1,Unnamed: 7,20002004200820122014.2,2018.2,Unnamed: 10,20002004200820122014.3,2018.3,Unnamed: 13,20002004200820122014.4,2018.4,Unnamed: 16,20002004200820122014.5,2018.5,Unnamed: 19,2004200820122014,2018.6,Unnamed: 22,2000,Unnamed: 24,2018.7,Unnamed: 26,Unnamed: 27
Cephalopholis argus,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,1.0,,1.0,,
Cephalopholis boenak,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
Cephalopholis cyanostigma,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,
Cephalopholis leopardus,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,
Cephalopholis miniata,,11.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,111.0,1.0,,11.0,1.0,,,,1.0,,
Cephalopholis polleni,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Cephalopholis sexmaculata,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
Cephalopholis sonnerati,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Cephalopholis urodeta,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,1111.0,1.0,,111.0,1.0,,1111.0,1.0,,111.0,1.0,,,,1.0,,
Epinephelus caeruleopunctatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus fasciatus,,111.0,1.0,,1.0,,,11.0,,,1.0,,,1.0,1.0,,11.0,,,1.0,,,,,1.0,,
Epinephelus fuscoguttatus,,,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,
Epinephelus hexagonatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus merra,,1.0,,,111.0,,,,,,1.0,,,1.0,1.0,,11.0,,,,,,1.0,,1.0,,
Epinephelus microdon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus ongus,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
Epinephelus polyphekadion,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,
Epinephelus sexfasciatus,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,
Epinephelus tauvina,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Epinephelus sp.,,1.0,,,1.0,,,11.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
Gracila albomarginata,,1.0,,,1.0,1.0,,111.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,
Plectropomus areolatus,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Plectropomus laevis,,111.0,,,111.0,,,1.0,,,1111.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,
Plectropomus  leopardus,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Plectropomus oligacanthus,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Variola albimarginata,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Variola louti,,1.0,1.0,,111.0,,,,,,111.0,1.0,,11.0,1.0,,,,,,,,,,1.0,,
Siganidae - Rabbitfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siganus argentus,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Siganus doliatus,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Siganus corallinus,,11.0,,,11.0,,,111.0,1.0,,,1.0,,11.0,,,,,,,,,,,1.0,,
Siganus puellus,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,11.0,,,11.0,,,,,,,,1.0,,
Siganus punctatissimus,,1.0,1.0,,111.0,1.0,,,,,1.0,,,1.0,1.0,,11.0,1.0,,,1.0,,,,1.0,,
Siganus punctatus,,,,,11.0,,,1.0,,,,,,11.0,,,,,,,,,,,,,
Siganus stellatus,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Siganus tetrazonus,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Siganus unimaculatus,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,
Siganus virgatus,,,,,1.0,,,11.0,,,1.0,,,1.0,,,,,,,,,,,,,
Siganus vulpinus,,1.0,,,11111.0,1.0,,11.0,1.0,,11111.0,1.0,,1111.0,1.0,,111.0,1.0,,,,,,,1.0,,
Soleidae - Soles,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardachirus pavoninus,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Sphyraenidae - Barracudas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphyraena barracuda,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
Sphyraena forsteri,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphyraena qenie,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Synotodontidae -Lizardfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurida gracilis,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Synodos variegatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraodontidae - Puffers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arothron hispidus,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,
Arothron mappa,,1.0,,,,,,11.0,,,,,,,,,1.0,,,,,,,,,,
Arothon meleagris,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Arothron nigropunctatus,,1111.0,,,1111.0,1.0,,1111.0,,,1111.0,1.0,,111.0,1.0,,11.0,,,1.0,,,1.0,,1.0,,
Arothron stellatus,,11.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
Canthigaster bennetti,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canthigaster compressa,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canthigaster papua,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Canthigaster solandri,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Canthigaster valentini,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Zanclidae - Moorish idol,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
Zanclus cornutus,,1111.0,1.0,,11111.0,1.0,,11111.0,1.0,,11111.0,1.0,,11111.0,1.0,,11111.0,1.0,,1111.0,,,,,1.0,,
