0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Chaetodon unimaculatus,,111,,,11,,,11,,,111,,,1,,,1,,,,1.0,,1.0,,1.0,,
Chaetodon vagabundus,,11111,1.0,,1111,,,11111,1.0,,11111,1.0,,11111,1.0,,1111,,,11.0,,,1.0,,1.0,,
Chaetodon xanthurus,,,,,1,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,
Chelmon rostratus,,,,,1,,,,,,,,,,,,,1.0,,,,,,,1.0,,
Coradion chrysozonus,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Coradion melanopus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forcipiger flavissimus,,11111,1.0,,11111,,,1111,1.0,,11,,,1111,1.0,,1111,1.0,,111.0,,,1.0,,1.0,,
Forcipiger longirostris,,111,1.0,,11,,,111,1.0,,11,,,11,,,11,,,11.0,1.0,,,,1.0,,
Hemitaurichthys polylepis,,11111,1.0,,111,,,1111,1.0,,11111,1.0,,1,1.0,,11111,1.0,,1111.0,1.0,,1.0,,1.0,,
Heniochus acuminatus,,1,,,1,,,11,1.0,,11,,,1,,,1,,,1.0,,,1.0,,1.0,,
Heniochus chrysostomus,,11111,1.0,,11111,,,11111,1.0,,11111,1.0,,11111,1.0,,1111,,,111.0,1.0,,1.0,,1.0,,
Heniochus diphreutes,,,1.0,,,,,,,,,1.0,,,1.0,,111,1.0,,11.0,,,,,1.0,,
Heniochus monoceros,,1,,,1,,,11,,,,,,1,,,1,,,,,,,,,,
Heniochus pleurotaenia,,,,,,,,,,,,,,,,,1,,,,1.0,,,,1.0,,
Heniochus singularis,,1111,1.0,,11111,,,1111,1.0,,111,1.0,,1111,,,1111,,,111.0,1.0,,1.0,,1.0,,
Heniochus varius,,11111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,11111,1.0,,1111,1.0,,11.0,,,1.0,,1.0,,
Chanidae - Milkfish,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chanos chanos,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cirrhitidae - Hawkfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirrhitichthys aprinus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cirrhitichthys falco,,11,,,11,,,111,,,11,,,1,,,1,,,1.0,,,,,,,
Cirrhitichthys oxycephalus,,1,,,,,,,,,,,,,,,11,,,1.0,,,,,,,
Cirrhitus pinnulatus,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oxycirrhites typus,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Paracirrhites arcatus,,11,,,1,,,111,,,111,,,11,1.0,,111,,,1.0,,,1.0,,1.0,,
Paracirrhites forsteri,,111,,,111,,,11,,,1111,,,11,,,111,,,11.0,,,1.0,,1.0,,
Paracirrhites hemistictus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clupeidae - Herrings and Sardines,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spratelloides delicatulus,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Diodontidae - Porcupinefishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilomycterus reticulatus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Diodon hystrix,,,,,,,,,,,11,,,1,,,,,,,,,,,,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,2004200820122014.0,2018.0,,2000.0,,2018.0,,
Diodon liturosus,,,,,1,,,,,,,,,1,,,,,,1.0,,,,,,,
Echeneididae - Shark suckers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echeneis naucrates,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Ephippidae - Batfishes,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
Platax boersii,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Platax orbicularis,,11,,,11,,,11,,,,,,1,,,,1.0,,,,,,,1.0,,
Platax pinnatus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Platax teira,,,,,1,,,,1.0,,,,,,1.0,,1,,,,,,,,1.0,,
I  Fistulariidae - Cornetfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fistularia commersonii,,1,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,
