0,1,2,3,4
"Laemonema verecundum (Jordan & Cramer,",1897),,,
Family Merlucciidae,,,,
"Merluccius productus (Ayres, 1855)",,,,
Order LOPHITFORMES,,,,
Family Ogcocephalidae,,,,
"Dibranchus spongiosa (Gilbert, 1890)",,,,
Order ATHERINIFORMES,,,,
Family Atherinopsidae,,,,
"Atherinops affinis (Ayres, 1860)",,,,
Order BELONIFORMES,,,,
Family Exocoetidae,,,,
"Cheilopogon atrisignis (Jenkins, 1903)",,,,
"Cheilopogon dorsomacula (Fowler, 1944)",,,,
"Cheilopogon heterurus (Rafinesque, 1810)",,,,
"Cheilopogon papilio (Clark, 1936)",Unnamed: 1,Unnamed: 2,,
"Cheilopogon pinnatibarbatus californicus (Bennett,",,1831),,
"Cheilopogon spilonotopterus (Bleeker,",1865),,,
"Cheilopogon unicolor (Valenciennes,",1847),,,
"Cheilopogon xenopterus (Gilbert, 1890)",,,,
"Cypselurus angusticeps Nichols & Breder,",1935,,,
"Cypselurus callopterus (Ginther, 1866)",,,,
"Cypselurus simus (Valenciennes, 1847)",,,,
"Exocoetus monocirrhus Richardson,",1846,,,
"Exocoetus volitans Linnaeus, 1758",,,,
"Hirundichthys marginatus (Nichols & Breder,",1928),,,
"Hirundichthys oxycephalus (Bleeker,",1853),,,
"Hirundichthys rondeletii (Valenciennes,",1847),,,
"Hirundichthys speculiger (Valenciennes,",1847),,,
"Oxyporhamphus micropterus (Valenciennes,",1847),,,
"Prognichthys sealei Abe, 1955",,,,
"Prognichthys tringa Breder, 1928",,,,
Family Hemiramphidae,,,,
"Euleptorhamphus viridis (Van Hasselt,",1823),,,
"Hemiramphus saltator Gilbert & Starks,",1904,,,
Family Belonidae,,,,
"Ablennes hians (Valenciennes, 1846)",,,,
"Platybelone pterura (Leusueur, 1821)",,,,
"Strongylura exilis (van Hasselt, 1823)",,,,
Family Scomberesocidae,,,,
"Cololabis saira (Brevoort, 1856)",,,,
Order CYPRINODONTIFORMES,,,,
Family Fundulidae,,,,
"Fundulus parvipinnis Girard, 1854",,,,
Order STEPHANOBERYCIFORMES,,,,
Family Melamphaidae,,,,
"Melamphaes spinifer Ebeling, 1962",,,,
"Poromitra oscitans Ebeling, 1975",,,,
"Scopeloberyx robustus (Giinther, 1887)",,,,
"Scopelogadus bispinosus (Gilbert, 1915)",,,,
Order GASTEROSTEIFORMES,,,,
Family Syngnathidae,,,,
"Syngnathus auliscus (Swain, 1882)",,,,
Family Fistulariidae,,,,
"Fistularia corneta Gilbert & Starks, 1904",,,,
Family Triglidae,,,,
"Bellator loxias (Jordan, 1897)",,,,
Prionotus albirostris Jordan & Bollman 1890,,,,
Order PERCIFORMES,,,,
Family Nematistiidae,,,,
"Nematistius pectoralis Gill, 1862",,,,
Family Coryphaenidae,,,,
"Coryphaena equiselis Linnaeus, 1758",,,,
"Coryphaena hippurus Linnaeus, 1758",,,,
Family Echeneidae,,,,
"Phtheirichthys lineatus (Menzies, 1791)",,,,
"Remora australis (Bennett, 1840)",,,,
"Remora brachyptera (Lowe, 1839)",,,,
"Remora osteochir (Cuvier, 1829)",Unnamed: 1,,,
"Remora remora (Linnaeus, 1758)",,,,
"Remorina albescens (Temminck & Schlegel,",1850),,,
Family Carangidae,,,,
"Carangoides otrynter (Jordan & Gilbert,",1883),,,
"Caranx caballus Giinther, 1868",,,,
"Caranx caninus Giinther, 1867",,,,
"Chloroscombrus orqueta Jordan & Gilbert,",1883,,,
"Decapterus macarellus (Cuvier, 1833)",,,,
"Decapterus muroadsi (Temminck & Schlegel,",1844),,,
"Hemicaranx zelotes Gilbert, 1898",,,,
"Naucrates ductor (Linnaeus, 1758)",,,,
"Selar crumenophthalmus (Bloch,",1793),,,
"Selene peruviana (Guichenot, 1866)",,,,
"Seriola rivoliana Valenciennes, 1833",,,,
"Trachurus symmetricus (Ayres, 1855)",,,,
"Uraspis secunda (Poey, 1860)",,,,
Family Lobotidae,,,,
"Lobotes pacificus Gilbert, 1898",,,,
Family Sciaenidae,,,,
